-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         8.86%      87.254ms        13.44%     132.349ms      61.961us     235.426ms        49.91%     235.426ms     110.218us          2136  
                                           aten::linear         0.44%       4.363ms         8.48%      83.489ms     107.589us       0.000us         0.00%     102.819ms     132.499us           776  
       autograd::engine::evaluate_function: MmBackward0         0.77%       7.584ms         9.66%      95.158ms     162.942us       0.000us         0.00%      95.739ms     163.937us           584  
                                            MmBackward0         0.78%       7.642ms         8.89%      87.574ms     149.955us       0.000us         0.00%      95.739ms     163.937us           584  
    autograd::engine::evaluate_function: AddmmBackward0         0.43%       4.192ms         4.57%      44.965ms     234.193us       0.000us         0.00%      93.997ms     489.568us           192  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      90.859ms        19.26%      90.859ms     118.306us           768  
                                         AddmmBackward0         0.29%       2.813ms         2.99%      29.409ms     153.172us       0.000us         0.00%      88.988ms     463.479us           192  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      84.431ms        17.90%      84.431ms     113.178us           746  
                                           aten::matmul         0.94%       9.253ms         9.92%      97.701ms     112.042us       0.000us         0.00%      62.861ms      72.088us           872  
                               Optimizer.step#Adam.step         8.69%      85.577ms        28.83%     283.946ms      35.493ms       0.000us         0.00%      60.181ms       7.523ms             8  
                                            aten::addmm         1.18%      11.599ms         1.84%      18.106ms      94.302us      52.120ms        11.05%      52.120ms     271.458us           192  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      46.400ms         9.84%      46.400ms      53.704us           864  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.667ms         6.93%      32.667ms       8.707us          3752  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      30.573ms         6.48%      30.573ms     293.971us           104  
                                             aten::add_         5.05%      49.742ms         9.97%      98.193ms      15.777us      28.927ms         6.13%      28.927ms       4.648us          6224  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.581ms         5.85%      27.581ms       5.756us          4792  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      21.689ms         4.60%      21.689ms     225.927us            96  
                                              aten::bmm         2.72%      26.815ms         3.57%      35.161ms      40.696us      19.142ms         4.06%      19.142ms      22.155us           864  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      18.614ms         3.95%      18.614ms      13.850us          1344  
