-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Optimizer.step#Adam.step         8.90%      86.070ms        29.76%     287.796ms      35.974ms       0.000us         0.00%      69.034ms       8.629ms             8  
                                               aten::mm         8.08%      78.160ms        11.95%     115.517ms      54.081us      57.060ms        30.49%      57.060ms      26.713us          2136  
                                             aten::add_         5.09%      49.245ms        10.01%      96.811ms      15.554us      28.488ms        15.22%      28.488ms       4.577us          6224  
                                           aten::linear         0.47%       4.530ms         8.96%      86.619ms     111.622us       0.000us         0.00%      27.252ms      35.119us           776  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.769ms        13.24%      24.769ms       5.169us          4792  
       autograd::engine::evaluate_function: MmBackward0         0.78%       7.499ms         8.30%      80.226ms     137.373us       0.000us         0.00%      24.426ms      41.825us           584  
                                            MmBackward0         0.77%       7.425ms         7.52%      72.727ms     124.533us       0.000us         0.00%      24.426ms      41.825us           584  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.885ms        12.76%      23.885ms       6.366us          3752  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      22.585ms        12.07%      22.585ms      30.033us           752  
    autograd::engine::evaluate_function: AddmmBackward0         0.44%       4.224ms         3.95%      38.247ms     199.203us       0.000us         0.00%      19.484ms     101.479us           192  
                                           aten::matmul         0.98%       9.507ms        10.23%      98.902ms     113.420us       0.000us         0.00%      18.955ms      21.737us           872  
                                         AddmmBackward0         0.28%       2.699ms         2.70%      26.073ms     135.797us       0.000us         0.00%      17.618ms      91.760us           192  
                                             aten::mul_         2.30%      22.248ms         4.51%      43.585ms      14.567us      17.503ms         9.35%      17.503ms       5.850us          2992  
                                         aten::addcdiv_         1.38%      13.375ms         2.32%      22.393ms      14.969us      13.331ms         7.12%      13.331ms       8.911us          1496  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.331ms         7.12%      13.331ms       8.911us          1496  
                                            aten::addmm         1.28%      12.382ms         2.07%      20.053ms     104.443us      12.236ms         6.54%      12.236ms      63.729us           192  
autograd::engine::evaluate_function: torch::autograd...         1.07%      10.333ms         5.34%      51.668ms      34.537us       0.000us         0.00%      11.947ms       7.986us          1496  
                        torch::autograd::AccumulateGrad         0.98%       9.505ms         4.27%      41.335ms      27.630us       0.000us         0.00%      11.947ms       7.986us          1496  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      11.165ms         5.97%      11.165ms      36.368us           307  
