-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.09%      13.731ms         1.70%     270.108ms     337.635us       0.000us         0.00%        9.948s      12.435ms           800  
                                   ConvolutionBackward0         0.05%       7.342ms         1.61%     256.377ms     320.471us       0.000us         0.00%        9.948s      12.435ms           800  
                             aten::convolution_backward         1.08%     171.944ms         1.57%     249.035ms     311.294us        9.948s        63.03%        9.948s      12.435ms           800  
                                      aten::convolution         0.05%       8.113ms         0.80%     126.486ms     158.107us       0.000us         0.00%        4.241s       5.302ms           800  
                                     aten::_convolution         0.04%       6.115ms         0.75%     118.373ms     147.966us       0.000us         0.00%        4.241s       5.302ms           800  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us        4.038s        25.58%        4.038s      12.618ms           320  
void cudnn::detail::dgrad_engine<float, 128, 6, 8, 3...         0.00%       0.000us         0.00%       0.000us       0.000us        3.518s        22.29%        3.518s      14.658ms           240  
                                           aten::conv2d         0.01%       2.205ms         0.67%     105.696ms     176.160us       0.000us         0.00%        2.181s       3.634ms           600  
                                aten::cudnn_convolution         0.45%      71.308ms         0.58%      92.705ms     154.508us        2.181s        13.82%        2.181s       3.634ms           600  
                                 aten::conv_transpose2d         0.01%     978.000us         0.15%      23.973ms     119.865us       0.000us         0.00%        2.061s      10.304ms           200  
                      aten::cudnn_convolution_transpose         0.10%      15.123ms         0.12%      19.553ms      97.765us        2.061s        13.06%        2.061s      10.304ms           200  
turing_scudnn_128x64_stridedB_splitK_xregs_large_nn_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.938s        12.28%        1.938s       6.055ms           320  
turing_scudnn_128x128_stridedB_splitK_xregs_large_nn...         0.00%       0.000us         0.00%       0.000us       0.000us     883.046ms         5.60%     883.046ms       5.519ms           160  
                  volta_scudnn_128x128_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     839.231ms         5.32%     839.231ms       5.245ms           160  
         volta_scudnn_128x128_3dconv_fprop_medium_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     804.976ms         5.10%     804.976ms       5.031ms           160  
             volta_scudnn_128x64_relu_xregs_large_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     778.159ms         4.93%     778.159ms       4.863ms           160  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     738.614ms         4.68%     738.614ms       2.308ms           320  
