-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.63%      17.336ms        11.44%     316.948ms     396.185us       0.000us         0.00%        1.910s       2.387ms           800  
                                   ConvolutionBackward0         0.33%       9.236ms        10.81%     299.612ms     374.515us       0.000us         0.00%        1.910s       2.387ms           800  
                             aten::convolution_backward         7.16%     198.409ms        10.48%     290.376ms     362.970us        1.910s        71.10%        1.910s       2.387ms           800  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     856.604ms        31.90%     856.604ms       5.354ms           160  
void cudnn::detail::dgrad_engine<float, 128, 6, 8, 3...         0.00%       0.000us         0.00%       0.000us       0.000us     607.946ms        22.64%     607.946ms       1.520ms           400  
                                      aten::convolution         0.26%       7.091ms         3.76%     104.202ms     130.252us       0.000us         0.00%     540.529ms     675.661us           800  
                                     aten::_convolution         0.19%       5.194ms         3.50%      97.111ms     121.389us       0.000us         0.00%     540.529ms     675.661us           800  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us     323.044ms        12.03%     323.044ms       1.615ms           200  
                                           aten::conv2d         0.07%       2.010ms         3.15%      87.140ms     145.233us       0.000us         0.00%     278.442ms     464.070us           600  
                                aten::cudnn_convolution         2.14%      59.418ms         2.73%      75.737ms     126.228us     278.442ms        10.37%     278.442ms     464.070us           600  
                                 aten::conv_transpose2d         0.03%     803.000us         0.72%      19.875ms      99.375us       0.000us         0.00%     262.087ms       1.310ms           200  
                      aten::cudnn_convolution_transpose         0.45%      12.524ms         0.58%      16.180ms      80.900us     262.087ms         9.76%     262.087ms       1.310ms           200  
turing_scudnn_128x64_stridedB_splitK_xregs_large_nn_...         0.00%       0.000us         0.00%       0.000us       0.000us     242.155ms         9.02%     242.155ms     756.734us           320  
                  volta_scudnn_128x128_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     201.014ms         7.48%     201.014ms     628.169us           320  
             volta_scudnn_128x64_relu_xregs_large_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     103.189ms         3.84%     103.189ms     644.931us           160  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.48%      13.322ms         3.17%      87.903ms     169.044us       0.000us         0.00%      53.188ms     102.285us           520  
                                CudnnBatchNormBackward0         0.17%       4.653ms         2.69%      74.581ms     143.425us       0.000us         0.00%      53.188ms     102.285us           520  
                        aten::cudnn_batch_norm_backward         1.19%      33.031ms         2.52%      69.928ms     134.477us      53.188ms         1.98%      53.188ms     102.285us           520  
