-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.89%      12.249ms        15.88%     218.838ms     227.956us       0.000us         0.00%     200.063ms     208.399us           960  
                                   ConvolutionBackward0         0.37%       5.147ms        14.99%     206.589ms     215.197us       0.000us         0.00%     200.063ms     208.399us           960  
                             aten::convolution_backward        10.48%     144.445ms        14.62%     201.442ms     209.835us     199.799ms        35.97%     200.063ms     208.399us           960  
                                           aten::conv2d         0.21%       2.961ms         9.02%     124.293ms     129.472us       0.000us         0.00%      71.117ms      74.080us           960  
                                      aten::convolution         0.56%       7.737ms         8.81%     121.332ms     126.388us       0.000us         0.00%      71.117ms      74.080us           960  
                                     aten::_convolution         0.40%       5.444ms         8.24%     113.595ms     118.328us       0.000us         0.00%      71.117ms      74.080us           960  
                                aten::cudnn_convolution         6.07%      83.702ms         7.85%     108.151ms     112.657us      71.117ms        12.80%      71.117ms      74.080us           960  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.87%      12.020ms         5.35%      73.678ms      76.114us       0.000us         0.00%      66.734ms      68.940us           968  
                                CudnnBatchNormBackward0         0.30%       4.115ms         4.48%      61.658ms      63.696us       0.000us         0.00%      66.734ms      68.940us           968  
                        aten::cudnn_batch_norm_backward         2.17%      29.914ms         4.18%      57.543ms      59.445us      66.734ms        12.01%      66.734ms      68.940us           968  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      63.458ms        11.42%      63.458ms     134.445us           472  
                                       aten::batch_norm         0.14%       1.934ms         5.57%      76.699ms      79.235us       0.000us         0.00%      44.334ms      45.800us           968  
                           aten::_batch_norm_impl_index         0.21%       2.864ms         5.43%      74.765ms      77.237us       0.000us         0.00%      44.334ms      45.800us           968  
                                 aten::cudnn_batch_norm         2.61%      36.014ms         5.22%      71.901ms      74.278us      44.334ms         7.98%      44.334ms      45.800us           968  
     autograd::engine::evaluate_function: ReluBackward0         0.47%       6.493ms         2.24%      30.866ms      31.886us       0.000us         0.00%      40.163ms      41.491us           968  
                                          ReluBackward0         0.31%       4.221ms         1.77%      24.373ms      25.179us       0.000us         0.00%      40.163ms      41.491us           968  
                               aten::threshold_backward         1.00%      13.740ms         1.46%      20.152ms      20.818us      40.163ms         7.23%      40.163ms      41.491us           968  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      40.163ms         7.23%      40.163ms      41.491us           968  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      38.518ms         6.93%      38.518ms      48.148us           800  
