-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.29%      10.604ms         6.00%     218.773ms     333.495us       0.000us         0.00%        1.522s       2.321ms           656  
                                   ConvolutionBackward0         0.12%       4.263ms         5.48%     199.621ms     304.300us       0.000us         0.00%        1.409s       2.148ms           656  
                             aten::convolution_backward         4.00%     145.822ms         5.36%     195.358ms     297.802us        1.392s        41.25%        1.409s       2.148ms           656  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us     734.318ms        21.76%     734.318ms       1.800ms           408  
                                      aten::convolution         0.17%       6.118ms         3.62%     132.026ms     201.259us       0.000us         0.00%     647.887ms     987.633us           656  
                                     aten::_convolution         0.15%       5.585ms         3.45%     125.908ms     191.933us       0.000us         0.00%     647.887ms     987.633us           656  
                                           aten::conv2d         0.06%       2.261ms         3.64%     132.682ms     204.756us       0.000us         0.00%     641.899ms     990.585us           648  
                                aten::cudnn_convolution         2.66%      96.985ms         3.12%     113.624ms     175.346us     614.078ms        18.20%     614.078ms     947.651us           648  
autograd::engine::evaluate_function: torch::autograd...         0.03%     937.000us         0.16%       5.697ms      89.016us       0.000us         0.00%     340.712ms       5.324ms            64  
torch::autograd::CppNode<vision::ops::(anonymous nam...         0.01%     437.000us         0.11%       4.080ms      63.750us       0.000us         0.00%     327.892ms       5.123ms            64  
                       torchvision::_roi_align_backward         0.04%       1.454ms         0.10%       3.643ms      56.922us     319.778ms         9.48%     327.892ms       5.123ms            64  
void vision::ops::(anonymous namespace)::roi_align_b...         0.00%       0.000us         0.00%       0.000us       0.000us     319.778ms         9.48%     319.778ms       5.158ms            62  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     277.897ms         8.24%     277.897ms       1.077ms           258  
                                              aten::add         0.81%      29.426ms         1.22%      44.280ms      22.052us     230.623ms         6.83%     230.623ms     114.852us          2008  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     227.107ms         6.73%     227.107ms      70.794us          3208  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     181.726ms         5.39%     181.726ms     698.946us           260  
                                              aten::mul         1.03%      37.610ms         1.59%      58.052ms      19.772us     178.648ms         5.29%     178.648ms      60.847us          2936  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     174.599ms         5.17%     174.599ms     191.446us           912  
