-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         3.90%      41.692ms        24.14%     257.796ms      42.144us     202.518ms        36.75%     202.550ms      33.113us          6117  
                                               aten::to         0.32%       3.364ms        18.84%     201.241ms     118.937us       0.000us         0.00%     165.499ms      97.813us          1692  
                                         aten::_to_copy         0.44%       4.669ms        18.53%     197.877ms     182.375us       0.000us         0.00%     165.499ms     152.534us          1085  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     157.081ms        28.50%     157.081ms     987.931us           159  
autograd::engine::evaluate_function: ConvolutionBack...         0.10%       1.051ms         2.36%      25.234ms     394.281us       0.000us         0.00%     117.707ms       1.839ms            64  
                                   ConvolutionBackward0         0.04%     403.000us         2.17%      23.173ms     362.078us       0.000us         0.00%     117.543ms       1.837ms            64  
                             aten::convolution_backward         1.26%      13.464ms         2.13%      22.770ms     355.781us     113.783ms        20.65%     117.543ms       1.837ms            64  
                                           aten::conv2d         0.08%     889.000us         3.87%      41.347ms     164.075us       0.000us         0.00%     105.740ms     419.603us           252  
                                      aten::convolution         0.17%       1.845ms         3.79%      40.458ms     160.548us       0.000us         0.00%     105.740ms     419.603us           252  
                                     aten::_convolution         0.26%       2.773ms         3.62%      38.613ms     153.226us       0.000us         0.00%     105.740ms     419.603us           252  
                                aten::cudnn_convolution         2.33%      24.854ms         2.83%      30.273ms     120.131us      86.258ms        15.65%      86.258ms     342.294us           252  
                   volta_scudnn_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      62.624ms        11.36%      62.624ms     372.762us           168  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      38.770ms         7.03%      38.770ms     807.708us            48  
                                              aten::pad         0.02%     265.000us         0.23%       2.443ms      38.172us       0.000us         0.00%      29.408ms     459.500us            64  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.343ms         4.42%      24.343ms       5.458us          4460  
                                             aten::add_         1.14%      12.172ms         2.08%      22.248ms      12.677us      23.646ms         4.29%      23.646ms      13.474us          1755  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.574ms         4.28%      23.574ms      19.810us          1190  
                volta_scudnn_128x32_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      22.460ms         4.08%      22.460ms     401.071us            56  
                                              aten::div         0.47%       5.020ms         0.73%       7.755ms      19.834us      20.363ms         3.69%      20.363ms      52.079us           391  
