-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         2.01%      60.256ms        19.91%     597.152ms     204.504us       0.000us         0.00%     510.777ms     174.924us          2920  
                                         AddmmBackward0         1.44%      43.185ms        13.86%     415.917ms     142.437us       0.000us         0.00%     474.583ms     162.528us          2920  
                                               aten::mm         7.14%     214.200ms        10.38%     311.306ms      53.306us     474.583ms        29.25%     474.583ms      81.264us          5840  
                                           aten::linear         0.99%      29.567ms        12.57%     376.966ms     127.353us       0.000us         0.00%     293.604ms      99.191us          2960  
                                            aten::addmm         6.32%     189.671ms         9.66%     289.708ms      97.874us     293.604ms        18.10%     293.604ms      99.191us          2960  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     278.212ms        17.15%     278.212ms      96.601us          2880  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     254.852ms        15.71%     254.852ms      88.490us          2880  
                                              aten::bmm         3.17%      95.126ms         4.31%     129.371ms      44.920us     185.749ms        11.45%     185.749ms      64.496us          2880  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     136.303ms         8.40%     136.303ms      11.103us         12276  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us     134.179ms         8.27%     134.179ms     139.770us           960  
      autograd::engine::evaluate_function: BmmBackward0         0.41%      12.157ms         3.47%     104.220ms     108.562us       0.000us         0.00%     126.439ms     131.707us           960  
                                           BmmBackward0         0.31%       9.163ms         3.07%      92.063ms      95.899us       0.000us         0.00%     126.439ms     131.707us           960  
                                              aten::mul         2.52%      75.618ms         3.86%     115.813ms      29.216us     122.817ms         7.57%     122.817ms      30.983us          3964  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     110.646ms         6.82%     110.646ms      18.466us          5992  
                                             aten::add_         3.39%     101.822ms         6.32%     189.493ms      19.755us     105.189ms         6.48%     105.189ms      10.966us          9592  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      91.722ms         5.65%      91.722ms      38.218us          2400  
autograd::engine::evaluate_function: torch::autograd...         1.76%      52.895ms         9.06%     271.843ms      34.151us       0.000us         0.00%      91.313ms      11.471us          7960  
                        torch::autograd::AccumulateGrad         1.69%      50.610ms         7.30%     218.948ms      27.506us       0.000us         0.00%      91.313ms      11.471us          7960  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      84.919ms         5.23%      84.919ms      44.229us          1920  
