-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         3.01%      18.213ms        25.83%     156.481ms     260.802us       0.000us         0.00%     216.830ms     361.383us           600  
                                         AddmmBackward0         1.39%       8.403ms        15.25%      92.425ms     154.042us       0.000us         0.00%     204.714ms     341.190us           600  
                                               aten::mm         7.65%      46.350ms        11.73%      71.100ms      59.250us     204.714ms        32.50%     204.714ms     170.595us          1200  
                                           aten::linear         0.97%       5.904ms        13.23%      80.183ms     133.638us       0.000us         0.00%     119.680ms     199.467us           600  
                                            aten::addmm         7.02%      42.528ms        10.28%      62.287ms     103.812us     119.680ms        19.00%     119.680ms     199.467us           600  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     107.893ms        17.13%     107.893ms     182.252us           592  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      72.206ms        11.46%      72.206ms     147.963us           488  
                                              aten::mul         3.79%      22.934ms         5.82%      35.285ms      28.273us      70.878ms        11.25%      70.878ms      56.793us          1248  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      67.004ms        10.64%      67.004ms     137.303us           488  
                                              aten::add         6.68%      40.469ms        10.60%      64.219ms      25.565us      58.075ms         9.22%      58.075ms      23.119us          2512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.719ms         8.53%      53.719ms      33.574us          1600  
                                              aten::bmm         2.97%      18.022ms         3.92%      23.733ms      41.203us      50.804ms         8.06%      50.804ms      88.201us           576  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.708ms         7.73%      48.708ms      17.648us          2760  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      40.841ms         6.48%      40.841ms     392.702us           104  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      39.275ms         6.23%      39.275ms      76.709us           512  
      autograd::engine::evaluate_function: BmmBackward0         0.41%       2.454ms         3.54%      21.460ms     111.771us       0.000us         0.00%      34.341ms     178.859us           192  
                                           BmmBackward0         0.33%       2.028ms         3.14%      19.006ms      98.990us       0.000us         0.00%      34.341ms     178.859us           192  
      autograd::engine::evaluate_function: MulBackward0         0.83%       5.020ms         3.76%      22.795ms      54.796us       0.000us         0.00%      33.253ms      79.935us           416  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      29.119ms         4.62%      29.119ms     303.323us            96  
