-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         5.19%      57.877ms         7.83%      87.363ms      56.002us     176.778ms        29.32%     176.778ms     113.319us          1560  
                               Optimizer.step#Adam.step        10.60%     118.260ms        36.09%     402.628ms      50.328ms       0.000us         0.00%     154.710ms      19.339ms             8  
    autograd::engine::evaluate_function: AddmmBackward0         1.42%      15.787ms        14.28%     159.322ms     207.451us       0.000us         0.00%     126.469ms     164.673us           768  
                                         AddmmBackward0         0.99%      11.005ms        10.13%     112.975ms     147.103us       0.000us         0.00%     116.952ms     152.281us           768  
                                           aten::linear         0.71%       7.967ms         9.03%     100.691ms     129.756us       0.000us         0.00%      90.013ms     115.996us           776  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      81.705ms        13.55%      81.705ms     105.290us           776  
                                            aten::addmm         4.43%      49.387ms         6.86%      76.541ms      99.663us      69.605ms        11.54%      69.605ms      90.632us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.858ms        10.92%      65.858ms      13.342us          4936  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      65.747ms        10.90%      65.747ms      85.608us           768  
                                             aten::add_         5.73%      63.909ms        11.40%     127.196ms      15.347us      61.304ms        10.17%      61.304ms       7.397us          8288  
                                              aten::bmm         2.63%      29.342ms         3.55%      39.632ms      45.870us      57.210ms         9.49%      57.210ms      66.215us           864  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      51.553ms         8.55%      51.553ms       7.888us          6536  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      46.038ms         7.64%      46.038ms      78.832us           584  
      autograd::engine::evaluate_function: BmmBackward0         0.36%       4.015ms         3.09%      34.452ms     119.625us       0.000us         0.00%      39.804ms     138.208us           288  
                                           BmmBackward0         0.29%       3.254ms         2.73%      30.437ms     105.684us       0.000us         0.00%      39.804ms     138.208us           288  
       autograd::engine::evaluate_function: MmBackward0         0.01%     135.000us         0.13%       1.463ms     182.875us       0.000us         0.00%      39.418ms       4.927ms             8  
                                            MmBackward0         0.01%      99.000us         0.12%       1.328ms     166.000us       0.000us         0.00%      39.418ms       4.927ms             8  
                                             aten::mul_         2.88%      32.102ms         5.26%      58.663ms      14.156us      35.376ms         5.87%      35.376ms       8.537us          4144  
                                         aten::addcdiv_         1.79%      19.971ms         2.92%      32.580ms      15.724us      32.684ms         5.42%      32.684ms      15.774us          2072  
