-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         5.41%      62.151ms         8.22%      94.326ms      60.465us     355.464ms        36.73%     355.464ms     227.862us          1560  
    autograd::engine::evaluate_function: AddmmBackward0         1.42%      16.258ms        15.88%     182.333ms     237.413us       0.000us         0.00%     247.681ms     322.501us           768  
                                         AddmmBackward0         1.00%      11.457ms        10.61%     121.780ms     158.568us       0.000us         0.00%     236.035ms     307.337us           768  
                                           aten::linear         0.67%       7.710ms         8.83%     101.395ms     130.664us       0.000us         0.00%     169.372ms     218.263us           776  
                               Optimizer.step#Adam.step        10.79%     123.889ms        35.84%     411.433ms      51.429ms       0.000us         0.00%     157.398ms      19.675ms             8  
                                            aten::addmm         4.39%      50.408ms         6.72%      77.195ms     100.514us     128.737ms        13.30%     128.737ms     167.626us           768  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     124.202ms        12.83%     124.202ms     161.721us           768  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     120.213ms        12.42%     120.213ms     176.784us           680  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      88.224ms         9.12%      88.224ms     131.286us           672  
       autograd::engine::evaluate_function: MmBackward0         0.01%     144.000us         0.16%       1.806ms     225.750us       0.000us         0.00%      78.794ms       9.849ms             8  
                                            MmBackward0         0.01%      97.000us         0.14%       1.662ms     207.750us       0.000us         0.00%      78.794ms       9.849ms             8  
                                              aten::bmm         2.45%      28.146ms         3.28%      37.634ms      43.558us      77.304ms         7.99%      77.304ms      89.472us           864  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      74.983ms         7.75%      74.983ms     720.990us           104  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      73.885ms         7.63%      73.885ms      15.017us          4920  
                                             aten::add_         5.76%      66.153ms        11.43%     131.213ms      15.832us      63.319ms         6.54%      63.319ms       7.640us          8288  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.681ms         5.55%      53.681ms       8.213us          6536  
      autograd::engine::evaluate_function: BmmBackward0         0.35%       3.977ms         2.77%      31.809ms     110.448us       0.000us         0.00%      51.917ms     180.267us           288  
                                           BmmBackward0         0.25%       2.884ms         2.42%      27.832ms      96.639us       0.000us         0.00%      51.917ms     180.267us           288  
                                           aten::matmul         0.01%      96.000us         0.07%     747.000us      93.375us       0.000us         0.00%      40.635ms       5.079ms             8  
