-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.93%      11.810ms        10.20%     128.931ms     217.789us       0.000us         0.00%     528.458ms     892.666us           592  
                                         AddmmBackward0         0.65%       8.187ms         6.65%      84.055ms     141.985us       0.000us         0.00%     508.618ms     859.152us           592  
                                               aten::mm         3.37%      42.605ms         5.01%      63.341ms      53.497us     508.618ms        37.31%     508.618ms     429.576us          1184  
                                           aten::linear         0.46%       5.868ms         5.41%      68.449ms     115.623us       0.000us         0.00%     288.204ms     486.831us           592  
                                            aten::addmm         2.70%      34.083ms         4.04%      51.143ms      86.390us     288.204ms        21.14%     288.204ms     486.831us           592  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     218.415ms        16.02%     218.415ms     373.998us           584  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     212.788ms        15.61%     212.788ms     364.363us           584  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     130.375ms         9.56%     130.375ms     267.162us           488  
                               Optimizer.step#Adam.step         7.25%      91.624ms        59.47%     752.067ms      94.008ms       0.000us         0.00%     128.160ms      16.020ms             8  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us     112.766ms         8.27%     112.766ms       1.084ms           104  
                                              aten::bmm         1.45%      18.337ms         1.94%      24.545ms      42.613us     102.989ms         7.55%     102.989ms     178.800us           576  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      75.817ms         5.56%      75.817ms      15.019us          5048  
      autograd::engine::evaluate_function: BmmBackward0         0.19%       2.404ms         1.76%      22.281ms     116.047us       0.000us         0.00%      70.427ms     366.807us           192  
                                           BmmBackward0         0.15%       1.899ms         1.57%      19.877ms     103.526us       0.000us         0.00%      70.427ms     366.807us           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      62.188ms         4.56%      62.188ms      16.263us          3824  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      56.062ms         4.11%      56.062ms       7.008ms             8  
                                 volta_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us      52.682ms         3.86%      52.682ms       6.585ms             8  
                                             aten::add_         4.13%      52.222ms        16.34%     206.580ms      31.919us      51.062ms         3.75%      51.062ms       7.890us          6472  
autograd::engine::evaluate_function: SoftmaxBackward...         0.08%       1.013ms         0.50%       6.332ms      65.958us       0.000us         0.00%      51.009ms     531.344us            96  
