-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.45%      11.560ms         4.81%     123.632ms     208.838us       0.000us         0.00%        1.047s       1.769ms           592  
                                         AddmmBackward0         0.32%       8.161ms         3.14%      80.859ms     136.586us       0.000us         0.00%        1.013s       1.711ms           592  
                                               aten::mm         1.58%      40.663ms         2.34%      60.212ms      50.855us        1.013s        40.23%        1.013s     855.472us          1184  
                                           aten::linear         0.22%       5.762ms         2.61%      67.215ms     113.539us       0.000us         0.00%     554.468ms     936.601us           592  
                                            aten::addmm         1.35%      34.631ms         1.95%      50.103ms      84.633us     554.468ms        22.02%     554.468ms     936.601us           592  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     528.283ms        20.98%     528.283ms     892.370us           592  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     288.524ms        11.46%     288.524ms     591.238us           488  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     255.717ms        10.16%     255.717ms     524.010us           488  
                                 volta_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     244.519ms         9.71%     244.519ms       2.351ms           104  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us     224.109ms         8.90%     224.109ms       2.155ms           104  
                                              aten::bmm         0.66%      16.993ms         0.87%      22.357ms      38.814us     191.127ms         7.59%     191.127ms     331.818us           576  
      autograd::engine::evaluate_function: BmmBackward0         0.08%       2.131ms         0.75%      19.272ms     100.375us       0.000us         0.00%     127.802ms     665.635us           192  
                                           BmmBackward0         0.07%       1.674ms         0.67%      17.141ms      89.276us       0.000us         0.00%     127.802ms     665.635us           192  
                               Optimizer.step#Adam.step         3.47%      89.146ms        11.81%     303.668ms      37.959ms       0.000us         0.00%     127.530ms      15.941ms             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     110.144ms         4.38%     110.144ms      21.819us          5048  
autograd::engine::evaluate_function: SoftmaxBackward...         0.03%     688.000us         0.19%       4.908ms      51.125us       0.000us         0.00%     101.666ms       1.059ms            96  
                                       SoftmaxBackward0         0.02%     525.000us         0.16%       4.220ms      43.958us       0.000us         0.00%     101.666ms       1.059ms            96  
                           aten::_softmax_backward_data         0.06%       1.507ms         0.14%       3.695ms      38.490us      51.036ms         2.03%     101.666ms       1.059ms            96  
                                              aten::div         0.86%      22.185ms         1.31%      33.598ms      18.583us      81.247ms         3.23%      81.247ms      44.938us          1808  
