-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: SliceBackward0         2.95%      77.865ms        23.50%     621.346ms      62.838us       0.000us         0.00%     895.480ms      90.562us          9888  
                                         SliceBackward0         0.75%      19.740ms        18.00%     475.831ms      48.122us       0.000us         0.00%     708.755ms      71.678us          9888  
                                   aten::slice_backward         1.82%      48.023ms        17.25%     456.091ms      46.126us       0.000us         0.00%     708.755ms      71.678us          9888  
                                            aten::copy_         4.06%     107.293ms         9.99%     264.191ms      14.561us     550.403ms        19.58%     550.405ms      30.335us         18144  
    autograd::engine::evaluate_function: AddmmBackward0         0.50%      13.227ms         5.52%     145.940ms     246.520us       0.000us         0.00%     545.327ms     921.160us           592  
                                         AddmmBackward0         0.33%       8.798ms         3.63%      95.854ms     161.916us       0.000us         0.00%     523.692ms     884.615us           592  
                                               aten::mm         1.80%      47.657ms         2.67%      70.668ms      59.686us     523.692ms        18.63%     523.692ms     442.307us          1184  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     448.536ms        15.95%     448.536ms      47.194us          9504  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     336.688ms        11.97%     336.688ms      38.087us          8840  
                                           aten::linear         0.23%       6.150ms         2.86%      75.626ms     126.043us       0.000us         0.00%     302.587ms     504.312us           600  
                                            aten::addmm         1.47%      38.964ms         2.17%      57.393ms      95.655us     302.587ms        10.76%     302.587ms     504.312us           600  
                                              aten::add         2.55%      67.385ms         4.37%     115.494ms      21.293us     288.371ms        10.26%     288.371ms      53.166us          5424  
                                            aten::fill_         2.71%      71.587ms         6.71%     177.284ms      13.334us     284.360ms        10.11%     284.360ms      21.387us         13296  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     284.360ms        10.11%     284.360ms      21.387us         13296  
                                            aten::zero_         1.53%      40.411ms         8.01%     211.772ms      16.411us       0.000us         0.00%     283.760ms      21.990us         12904  
                                            aten::zeros         1.61%      42.695ms        12.09%     319.639ms      25.352us       0.000us         0.00%     275.306ms      21.836us         12608  
                                              aten::bmm         4.34%     114.643ms         5.64%     149.118ms      32.361us     209.470ms         7.45%     209.470ms      45.458us          4608  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     204.029ms         7.26%     204.029ms     349.365us           584  
                                              aten::mul         2.56%      67.643ms         3.84%     101.616ms      23.011us     197.641ms         7.03%     197.641ms      44.756us          4416  
