-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         1.41%       5.982ms        14.88%      62.930ms     207.007us       0.000us         0.00%      89.524ms     294.487us           304  
                                         AddmmBackward0         1.05%       4.453ms        10.60%      44.827ms     147.457us       0.000us         0.00%      84.299ms     277.299us           304  
                                               aten::mm         5.31%      22.461ms         8.00%      33.837ms      55.653us      84.299ms        28.26%      84.299ms     138.650us           608  
                               Optimizer.step#Adam.step        11.30%      47.791ms        38.67%     163.579ms      20.447ms       0.000us         0.00%      77.415ms       9.677ms             8  
                                           aten::linear         0.71%       3.013ms         9.27%      39.238ms     129.072us       0.000us         0.00%      50.274ms     165.375us           304  
                                            aten::addmm         4.68%      19.781ms         7.14%      30.185ms      99.293us      50.274ms        16.85%      50.274ms     165.375us           304  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      44.006ms        14.75%      44.006ms     144.757us           304  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      32.776ms        10.99%      32.776ms     110.730us           296  
                                             aten::add_         6.30%      26.656ms        12.68%      53.634ms      15.963us      30.612ms        10.26%      30.612ms       9.111us          3360  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.344ms         9.84%      29.344ms      14.790us          1984  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      25.054ms         8.40%      25.054ms       9.577us          2616  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      23.908ms         8.01%      23.908ms     114.942us           208  
                                              aten::bmm         2.22%       9.375ms         2.97%      12.553ms      43.587us      22.019ms         7.38%      22.019ms      76.455us           288  
                                             aten::mul_         2.93%      12.408ms         5.59%      23.640ms      14.071us      17.129ms         5.74%      17.129ms      10.196us          1680  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      16.373ms         5.49%      16.373ms     170.552us            96  
                                         aten::addcdiv_         1.62%       6.874ms         2.84%      12.013ms      14.301us      15.724ms         5.27%      15.724ms      18.719us           840  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.724ms         5.27%      15.724ms      18.719us           840  
      autograd::engine::evaluate_function: BmmBackward0         0.30%       1.263ms         2.63%      11.115ms     115.781us       0.000us         0.00%      15.182ms     158.146us            96  
                                           BmmBackward0         0.24%       1.023ms         2.33%       9.852ms     102.625us       0.000us         0.00%      15.182ms     158.146us            96  
