-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.90%      28.567ms         1.30%      41.443ms      52.327us        1.287s        40.42%        1.287s       1.625ms           792  
    autograd::engine::evaluate_function: AddmmBackward0         0.30%       9.529ms         2.54%      80.845ms     210.534us       0.000us         0.00%     796.236ms       2.074ms           384  
                                         AddmmBackward0         0.13%       4.120ms         1.55%      49.223ms     128.185us       0.000us         0.00%     772.425ms       2.012ms           384  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     582.895ms        18.30%     582.895ms       1.487ms           392  
                                            aten::addmm         0.71%      22.573ms         1.05%      33.456ms      87.125us     400.153ms        12.57%     400.153ms       1.042ms           384  
       autograd::engine::evaluate_function: MmBackward0         0.00%     120.000us         0.04%       1.169ms     146.125us       0.000us         0.00%     341.116ms      42.639ms             8  
                                            MmBackward0         0.00%     142.000us         0.03%       1.049ms     131.125us       0.000us         0.00%     341.116ms      42.639ms             8  
                                 volta_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     305.424ms         9.59%     305.424ms       2.937ms           104  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us     278.759ms         8.75%     278.759ms       2.680ms           104  
                                              aten::mul         0.65%      20.577ms         0.99%      31.418ms      27.273us     274.717ms         8.63%     274.717ms     238.470us          1152  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     257.153ms         8.08%     257.153ms     892.892us           288  
                                           aten::matmul         0.10%       3.044ms         1.04%      33.083ms     165.415us       0.000us         0.00%     251.962ms       1.260ms           200  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     244.062ms         7.66%     244.062ms     847.438us           288  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     238.056ms         7.48%     238.056ms      53.908us          4416  
                                              aten::bmm         0.60%      19.091ms         0.78%      24.906ms      43.240us     187.981ms         5.90%     187.981ms     326.356us           576  
                                           aten::linear         0.00%      61.000us         0.03%       1.103ms     137.875us       0.000us         0.00%     173.481ms      21.685ms             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     152.735ms         4.80%     152.735ms     318.198us           480  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     151.777ms         4.77%     151.777ms      49.796us          3048  
                               Optimizer.step#Adam.step         2.55%      81.030ms         8.44%     268.042ms      33.505ms       0.000us         0.00%     151.111ms      18.889ms             8  
