-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.38%      76.794ms        12.35%     685.331ms      72.722us        1.753s        32.20%        1.753s     186.032us          9424  
    autograd::engine::evaluate_function: SliceBackward0         0.23%      13.024ms        12.93%     717.582ms     355.943us       0.000us         0.00%        1.430s     709.153us          2016  
                                               aten::mm         1.10%      60.846ms         5.59%     310.474ms     198.006us        1.213s        22.29%        1.213s     773.829us          1568  
                                         SliceBackward0         0.07%       4.114ms        12.20%     677.339ms     335.982us       0.000us         0.00%        1.200s     595.435us          2016  
                                   aten::slice_backward         0.18%      10.055ms        12.13%     673.225ms     333.941us       0.000us         0.00%        1.200s     595.435us          2016  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     896.513ms        16.47%     896.513ms     406.029us          2208  
    autograd::engine::evaluate_function: AddmmBackward0         0.08%       4.206ms         3.32%     184.208ms     885.615us       0.000us         0.00%     855.122ms       4.111ms           208  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     834.612ms        15.33%     834.612ms     154.787us          5392  
                                         AddmmBackward0         0.05%       2.760ms         1.96%     108.536ms     521.808us       0.000us         0.00%     829.834ms       3.990ms           208  
                                           aten::linear         0.09%       5.186ms         1.81%     100.474ms     169.720us       0.000us         0.00%     629.209ms       1.063ms           592  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     571.213ms        10.49%     571.213ms     964.887us           592  
                                            aten::fill_         0.42%      23.155ms         9.42%     522.898ms     144.927us     559.317ms        10.27%     559.317ms     155.021us          3608  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     559.309ms        10.27%     559.309ms     155.364us          3600  
                                            aten::zero_         0.16%       9.047ms         9.32%     517.541ms     176.756us       0.000us         0.00%     505.362ms     172.596us          2928  
                                            aten::zeros         0.13%       6.945ms         8.56%     474.951ms     211.277us       0.000us         0.00%     461.110ms     205.120us          2248  
                                            aten::addmm         0.25%      14.013ms         0.37%      20.451ms      98.322us     456.882ms         8.39%     456.882ms       2.197ms           208  
                                            aten::clone         0.28%      15.654ms         4.78%     265.203ms      89.114us       0.000us         0.00%     431.131ms     144.869us          2976  
autograd::engine::evaluate_function: torch::autograd...         0.12%       6.807ms         5.16%     286.471ms     426.296us       0.000us         0.00%     426.666ms     634.920us           672  
                            torch::autograd::CopySlices         0.15%       8.432ms         5.04%     279.664ms     416.167us       0.000us         0.00%     426.666ms     634.920us           672  
