-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: _ReversibleFunc...         0.01%     132.000us        60.72%     630.137ms      78.767ms       0.000us         0.00%     645.561ms      80.695ms             8  
                            _ReversibleFunctionBackward         9.24%      95.854ms        60.71%     630.005ms      78.751ms       0.000us         0.00%     645.561ms      80.695ms             8  
                                    _ReversibleFunction         4.54%      47.159ms        22.72%     235.831ms      29.479ms       0.000us         0.00%     235.541ms      29.443ms             8  
                                               aten::mm         3.08%      31.971ms         4.66%      48.351ms      54.944us     203.258ms        22.44%     203.258ms     230.975us           880  
                                           aten::matmul         0.46%       4.779ms         3.72%      38.635ms      73.172us       0.000us         0.00%     140.524ms     266.144us           528  
                                           aten::linear         0.29%       3.055ms         4.59%      47.593ms      88.793us       0.000us         0.00%     127.364ms     237.619us           536  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     111.334ms        12.29%     111.334ms      68.555us          1624  
                                              aten::bmm         1.29%      13.347ms         1.66%      17.272ms      42.333us     101.092ms        11.16%     101.092ms     247.775us           408  
    autograd::engine::evaluate_function: SliceBackward0         0.37%       3.805ms         3.33%      34.607ms      60.082us       0.000us         0.00%      95.839ms     166.387us           576  
                                            aten::copy_         1.00%      10.390ms        29.86%     309.893ms     170.646us      86.314ms         9.53%      86.314ms      47.530us          1816  
       autograd::engine::evaluate_function: MmBackward0         0.15%       1.533ms         2.50%      25.987ms     154.685us       0.000us         0.00%      80.384ms     478.476us           168  
                                            MmBackward0         0.20%       2.094ms         2.36%      24.454ms     145.560us       0.000us         0.00%      80.384ms     478.476us           168  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      80.240ms         8.86%      80.240ms     238.810us           336  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      72.423ms         7.99%      72.423ms     226.322us           320  
                                         SliceBackward0         0.10%       1.082ms         2.63%      27.259ms      47.325us       0.000us         0.00%      69.833ms     121.238us           576  
                                   aten::slice_backward         0.28%       2.935ms         2.52%      26.177ms      45.446us       0.000us         0.00%      69.833ms     121.238us           576  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      67.445ms         7.44%      67.445ms     150.547us           448  
                                              aten::cat         1.37%      14.202ms         2.37%      24.611ms      38.941us      61.036ms         6.74%      61.036ms      96.576us           632  
                                              aten::add         0.97%      10.099ms         1.49%      15.514ms      21.789us      58.625ms         6.47%      58.625ms      82.338us           712  
