-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.74%      85.027ms         2.53%     124.010ms      53.269us        1.713s        35.19%        1.713s     735.943us          2328  
       autograd::engine::evaluate_function: MmBackward0         0.24%      11.563ms         2.45%     120.093ms     154.759us       0.000us         0.00%        1.152s       1.485ms           776  
                                            MmBackward0         0.24%      11.846ms         2.22%     108.530ms     139.858us       0.000us         0.00%        1.152s       1.485ms           776  
                                           aten::matmul         0.25%      12.222ms         2.24%     109.600ms     103.008us       0.000us         0.00%     860.566ms     808.803us          1064  
                                              aten::bmm         0.57%      28.160ms         0.77%      37.702ms      43.637us     739.331ms        15.19%     739.331ms     855.707us           864  
                                           aten::linear         0.07%       3.314ms         1.38%      67.746ms      87.302us       0.000us         0.00%     561.123ms     723.097us           776  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     561.123ms        11.53%     561.123ms     723.097us           776  
                                             aten::add_         0.83%      40.706ms         1.61%      78.934ms      18.171us     559.276ms        11.49%     559.276ms     128.747us          4344  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     489.499ms        10.06%     489.499ms       4.079ms           120  
      autograd::engine::evaluate_function: BmmBackward0         0.08%       3.899ms         0.66%      32.267ms     112.038us       0.000us         0.00%     470.138ms       1.632ms           288  
                                           BmmBackward0         0.06%       2.931ms         0.58%      28.368ms      98.500us       0.000us         0.00%     470.138ms       1.632ms           288  
                                 volta_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     464.335ms         9.54%     464.335ms     682.846us           680  
autograd::engine::evaluate_function: SoftmaxBackward...         0.03%       1.373ms         0.28%      13.919ms      96.660us       0.000us         0.00%     406.958ms       2.826ms           144  
                                       SoftmaxBackward0         0.02%       1.008ms         0.26%      12.546ms      87.125us       0.000us         0.00%     406.958ms       2.826ms           144  
                           aten::_softmax_backward_data         0.13%       6.428ms         0.24%      11.538ms      80.125us     204.465ms         4.20%     406.958ms       2.826ms           144  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     386.220ms         7.93%     386.220ms     447.014us           864  
                                              aten::mul         0.93%      45.347ms         1.39%      68.275ms      24.595us     352.714ms         7.25%     352.714ms     127.058us          2776  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     297.187ms         6.10%     297.187ms      91.274us          3256  
                                   volta_sgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     279.944ms         5.75%     279.944ms     972.028us           288  
