-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         0.44%      35.840ms        29.74%        2.418s     214.684us       0.000us         0.00%     495.632ms      44.001us         11264  
                                      aten::convolution         1.18%      95.670ms        29.30%        2.382s     211.502us       0.000us         0.00%     495.632ms      44.001us         11264  
                                     aten::_convolution         1.54%     125.439ms        28.12%        2.287s     203.009us       0.000us         0.00%     495.632ms      44.001us         11264  
                                aten::cudnn_convolution        20.18%        1.641s        23.29%        1.894s     168.145us     451.087ms        35.24%     451.087ms      40.047us         11264  
autograd::engine::evaluate_function: ConvolutionBack...         1.05%      85.777ms        19.94%        1.621s     263.893us       0.000us         0.00%     420.756ms      68.482us          6144  
                                   ConvolutionBackward0         0.43%      35.138ms        18.89%        1.536s     249.932us       0.000us         0.00%     420.756ms      68.482us          6144  
                             aten::convolution_backward        12.41%        1.009s        18.45%        1.500s     244.213us     378.532ms        29.57%     420.756ms      68.482us          6144  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us     161.337ms        12.60%     161.337ms      39.389us          4096  
void cudnn::cnn::wgrad2d_grouped_direct_kernel<false...         0.00%       0.000us         0.00%       0.000us       0.000us     116.638ms         9.11%     116.638ms      75.936us          1536  
                   volta_scudnn_128x64_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     113.817ms         8.89%     113.817ms      74.100us          1536  
void cudnn::detail::dgrad2d_alg1_1<float, 0, 5, 6, 4...         0.00%       0.000us         0.00%       0.000us       0.000us      94.085ms         7.35%      94.085ms      21.619us          4352  
void cudnn::cnn::wgrad_alg1_engine<float, float, 128...         0.00%       0.000us         0.00%       0.000us       0.000us      83.742ms         6.54%      83.742ms     327.117us           256  
                 volta_scudnn_128x128_relu_medium_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      74.263ms         5.80%      74.263ms      58.018us          1280  
                                       aten::batch_norm         0.32%      25.639ms        10.94%     889.453ms      78.964us       0.000us         0.00%      71.365ms       6.336us         11264  
                           aten::_batch_norm_impl_index         0.43%      34.967ms        10.62%     863.814ms      76.688us       0.000us         0.00%      71.365ms       6.336us         11264  
                                 aten::cudnn_batch_norm         5.03%     408.704ms        10.19%     828.847ms      73.584us      71.365ms         5.57%      71.365ms       6.336us         11264  
                                              aten::sum         2.59%     210.204ms         4.15%     337.040ms      36.571us      59.449ms         4.64%      62.713ms       6.805us          9216  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.021ms         4.61%      59.021ms       2.016us         29280  
