-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.38%      68.828ms        37.81%        6.864s       1.787ms       0.000us         0.00%        1.210s     315.116us          3840  
                        CudnnBatchNormBackwardBackward0         4.54%     824.691ms        37.10%        6.735s       1.754ms       0.000us         0.00%        1.202s     313.116us          3840  
                                      aten::convolution         0.58%     106.112ms        13.26%        2.407s     138.287us       0.000us         0.00%     685.950ms      39.404us         17408  
                                     aten::_convolution         0.84%     151.671ms        12.68%        2.301s     132.191us       0.000us         0.00%     685.950ms      39.404us         17408  
                                              aten::sum         9.99%        1.814s        14.44%        2.622s      18.655us     678.480ms        20.69%     678.480ms       4.828us        140544  
autograd::engine::evaluate_function: ConvolutionBack...         0.75%     135.519ms        10.02%        1.819s     215.339us       0.000us         0.00%     641.185ms      75.898us          8448  
                                   ConvolutionBackward0         0.26%      46.652ms         8.43%        1.530s     181.148us       0.000us         0.00%     620.655ms      73.468us          8448  
                             aten::convolution_backward         4.92%     892.929ms         8.17%        1.484s     175.626us     526.880ms        16.06%     620.655ms      73.468us          8448  
autograd::engine::evaluate_function: ConvolutionBack...         0.34%      61.427ms        11.00%        1.996s     519.910us       0.000us         0.00%     554.263ms     144.339us          3840  
                           ConvolutionBackwardBackward0         0.16%      28.280ms        10.34%        1.877s     488.818us       0.000us         0.00%     546.458ms     142.307us          3840  
                     aten::_convolution_double_backward         0.56%     102.353ms        10.18%        1.849s     481.454us       0.000us         0.00%     546.458ms     142.307us          3840  
                                aten::cudnn_convolution         7.31%        1.326s         9.21%        1.671s     123.186us     487.555ms        14.86%     487.555ms      35.934us         13568  
                                              aten::mul         9.30%        1.689s        14.61%        2.653s      15.583us     446.524ms        13.61%     446.524ms       2.623us        170240  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     438.254ms        13.36%     438.254ms       4.458us         98304  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     240.226ms         7.32%     240.226ms       5.687us         42240  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     219.988ms         6.71%     219.988ms       3.305us         66560  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     215.316ms         6.56%     215.316ms       2.160us         99696  
void implicit_convolve_sgemm<float, float, 512, 6, 8...         0.00%       0.000us         0.00%       0.000us       0.000us     197.106ms         6.01%     197.106ms     153.989us          1280  
