-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.00%       5.092ms        13.84%      70.401ms     169.233us       0.000us         0.00%      44.233ms     106.329us           416  
                                   ConvolutionBackward0         0.44%       2.217ms        12.49%      63.522ms     152.697us       0.000us         0.00%      43.981ms     105.724us           416  
                             aten::convolution_backward         8.08%      41.116ms        12.05%      61.305ms     147.368us      43.981ms        40.67%      43.981ms     105.724us           416  
                               Optimizer.step#Adam.step        13.74%      69.874ms        46.92%     238.613ms      29.827ms       0.000us         0.00%      23.602ms       2.950ms             8  
                                           aten::conv2d         0.25%       1.248ms         8.55%      43.470ms     104.495us       0.000us         0.00%      12.800ms      30.769us           416  
                                      aten::convolution         0.69%       3.505ms         8.30%      42.222ms     101.495us       0.000us         0.00%      12.800ms      30.769us           416  
                                     aten::_convolution         0.55%       2.782ms         7.61%      38.717ms      93.070us       0.000us         0.00%      12.800ms      30.769us           416  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       9.535ms         8.82%       9.535ms      70.110us           136  
                                             aten::add_         8.05%      40.963ms        15.41%      78.359ms      14.320us       9.409ms         8.70%       9.409ms       1.719us          5472  
autograd::engine::evaluate_function: CudnnBatchNormB...         1.00%       5.091ms         6.43%      32.705ms      78.618us       0.000us         0.00%       9.205ms      22.127us           416  
                                CudnnBatchNormBackward0         0.35%       1.801ms         5.43%      27.614ms      66.380us       0.000us         0.00%       9.205ms      22.127us           416  
                        aten::cudnn_batch_norm_backward         2.49%      12.670ms         5.08%      25.813ms      62.050us       9.205ms         8.51%       9.205ms      22.127us           416  
                                aten::cudnn_convolution         5.11%      25.992ms         6.34%      32.222ms     115.079us       8.913ms         8.24%       8.913ms      31.832us           280  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.495ms         7.86%       8.495ms       2.226us          3816  
void cudnn::detail::dgrad_alg1_engine<float, 128, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us       6.649ms         6.15%       6.649ms      55.408us           120  
                                       aten::batch_norm         0.15%     752.000us         6.12%      31.146ms      74.870us       0.000us         0.00%       6.530ms      15.697us           416  
                           aten::_batch_norm_impl_index         0.23%       1.171ms         5.98%      30.394ms      73.062us       0.000us         0.00%       6.530ms      15.697us           416  
                                 aten::cudnn_batch_norm         2.91%      14.800ms         5.75%      29.223ms      70.248us       6.530ms         6.04%       6.530ms      15.697us           416  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.413ms         5.93%       6.413ms       2.386us          2688  
