-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.09%       4.797ms         1.30%      67.828ms     163.048us       0.000us         0.00%        2.213s       5.319ms           416  
                                   ConvolutionBackward0         0.04%       2.079ms         1.18%      61.362ms     147.505us       0.000us         0.00%        2.188s       5.259ms           416  
                             aten::convolution_backward         0.78%      40.765ms         1.14%      59.283ms     142.507us        2.188s        42.17%        2.188s       5.259ms           416  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.09%       4.724ms         0.57%      29.866ms      71.793us       0.000us         0.00%        1.013s       2.434ms           416  
                                CudnnBatchNormBackward0         0.03%       1.702ms         0.48%      25.142ms      60.438us       0.000us         0.00%        1.013s       2.434ms           416  
                        aten::cudnn_batch_norm_backward         0.22%      11.459ms         0.45%      23.440ms      56.346us        1.013s        19.52%        1.013s       2.434ms           416  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     707.275ms        13.63%     707.275ms       5.201ms           136  
                                       aten::batch_norm         0.02%     806.000us         0.61%      31.674ms      76.139us       0.000us         0.00%     608.303ms       1.462ms           416  
                           aten::_batch_norm_impl_index         0.02%       1.197ms         0.59%      30.868ms      74.202us       0.000us         0.00%     608.303ms       1.462ms           416  
                                 aten::cudnn_batch_norm         0.29%      15.143ms         0.57%      29.671ms      71.325us     608.303ms        11.72%     608.303ms       1.462ms           416  
                                           aten::conv2d         0.02%       1.221ms         0.85%      44.234ms     106.332us       0.000us         0.00%     603.800ms       1.451ms           416  
                                      aten::convolution         0.07%       3.509ms         0.83%      43.013ms     103.397us       0.000us         0.00%     603.800ms       1.451ms           416  
                                     aten::_convolution         0.05%       2.796ms         0.76%      39.504ms      94.962us       0.000us         0.00%     603.800ms       1.451ms           416  
     autograd::engine::evaluate_function: ReluBackward0         0.03%       1.746ms         0.16%       8.239ms      29.425us       0.000us         0.00%     412.495ms       1.473ms           280  
                                          ReluBackward0         0.02%       1.088ms         0.12%       6.493ms      23.189us       0.000us         0.00%     412.495ms       1.473ms           280  
                               aten::threshold_backward         0.07%       3.522ms         0.10%       5.405ms      19.304us     412.495ms         7.95%     412.495ms       1.473ms           280  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     412.495ms         7.95%     412.495ms       1.473ms           280  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     395.554ms         7.62%     395.554ms       1.268ms           312  
