-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.83%       6.093ms        10.83%      79.615ms     191.382us       0.000us         0.00%     251.894ms     605.514us           416  
                                   ConvolutionBackward0         0.33%       2.397ms         9.73%      71.522ms     171.928us       0.000us         0.00%     249.813ms     600.512us           416  
                             aten::convolution_backward         6.55%      48.122ms         9.40%      69.125ms     166.166us     249.813ms        34.26%     249.813ms     600.512us           416  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.74%       5.442ms         4.83%      35.498ms      85.332us       0.000us         0.00%     135.220ms     325.048us           416  
                                CudnnBatchNormBackward0         0.27%       1.977ms         4.09%      30.056ms      72.250us       0.000us         0.00%     135.220ms     325.048us           416  
                        aten::cudnn_batch_norm_backward         1.83%      13.421ms         3.82%      28.079ms      67.498us     135.220ms        18.55%     135.220ms     325.048us           416  
                                        aten::hardtanh_         0.32%       2.330ms         2.32%      17.088ms      61.029us       0.000us         0.00%      90.516ms     323.271us           280  
                                       aten::batch_norm         0.10%     751.000us         4.49%      32.991ms      79.305us       0.000us         0.00%      83.609ms     200.983us           416  
                           aten::_batch_norm_impl_index         0.16%       1.188ms         4.39%      32.240ms      77.500us       0.000us         0.00%      83.609ms     200.983us           416  
                                 aten::cudnn_batch_norm         2.08%      15.254ms         4.22%      31.052ms      74.644us      83.609ms        11.47%      83.609ms     200.983us           416  
                                           aten::conv2d         0.17%       1.259ms         6.10%      44.812ms     107.721us       0.000us         0.00%      77.783ms     186.978us           416  
                                      aten::convolution         0.50%       3.662ms         5.93%      43.553ms     104.695us       0.000us         0.00%      77.783ms     186.978us           416  
                                     aten::_convolution         0.39%       2.902ms         5.43%      39.891ms      95.892us       0.000us         0.00%      77.783ms     186.978us           416  
autograd::engine::evaluate_function: HardtanhBackwar...         0.33%       2.427ms         1.44%      10.583ms      37.796us       0.000us         0.00%      65.623ms     234.368us           280  
                                      HardtanhBackward0         0.11%     782.000us         1.11%       8.156ms      29.129us       0.000us         0.00%      65.623ms     234.368us           280  
                                aten::hardtanh_backward         0.44%       3.217ms         1.00%       7.374ms      26.336us      65.623ms         9.00%      65.623ms     234.368us           280  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.623ms         9.00%      65.623ms     234.368us           280  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      52.055ms         7.14%      52.055ms       1.627ms            32  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      49.987ms         6.86%      49.987ms     367.551us           136  
