-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
      autograd::engine::evaluate_function: DivBackward0         1.12%      11.300ms         7.71%      78.086ms      93.853us       0.000us         0.00%      80.297ms      96.511us           832  
autograd::engine::evaluate_function: ConvolutionBack...         0.61%       6.171ms         7.89%      79.951ms     192.190us       0.000us         0.00%      73.302ms     176.207us           416  
                                   ConvolutionBackward0         0.25%       2.518ms         7.09%      71.874ms     172.774us       0.000us         0.00%      72.788ms     174.971us           416  
                             aten::convolution_backward         4.82%      48.846ms         6.85%      69.356ms     166.721us      72.788ms        17.98%      72.788ms     174.971us           416  
                                           DivBackward0         0.63%       6.422ms         4.96%      50.300ms      60.457us       0.000us         0.00%      69.702ms      83.776us           832  
                  aten::fused_moving_avg_obs_fake_quant         0.25%       2.503ms        21.57%     218.581ms     176.275us       0.000us         0.00%      60.258ms      48.595us          1240  
                  aten::_fused_moving_avg_obs_fq_helper         2.68%      27.185ms        21.33%     216.078ms     174.256us       7.107ms         1.76%      60.258ms      48.595us          1240  
                                              aten::div         4.73%      47.973ms         7.11%      71.990ms      19.106us      54.108ms        13.36%      54.108ms      14.360us          3768  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      50.928ms        12.58%      50.928ms      30.606us          1664  
                                              aten::mul         3.64%      36.916ms         5.63%      57.053ms      19.701us      50.086ms        12.37%      50.086ms      17.295us          2896  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.64%       6.445ms         3.51%      35.571ms      85.507us       0.000us         0.00%      31.436ms      75.567us           416  
                                CudnnBatchNormBackward0         0.19%       1.970ms         2.87%      29.126ms      70.014us       0.000us         0.00%      31.436ms      75.567us           416  
                        aten::cudnn_batch_norm_backward         1.36%      13.736ms         2.68%      27.156ms      65.279us      31.436ms         7.76%      31.436ms      75.567us           416  
                                           aten::conv2d         0.14%       1.435ms         5.58%      56.562ms     135.966us       0.000us         0.00%      30.274ms      72.774us           416  
                                      aten::convolution         0.36%       3.693ms         5.44%      55.127ms     132.517us       0.000us         0.00%      30.274ms      72.774us           416  
                                     aten::_convolution         0.42%       4.293ms         5.08%      51.434ms     123.639us       0.000us         0.00%      30.274ms      72.774us           416  
autograd::engine::evaluate_function: FusedMovingAvgO...         0.86%       8.706ms         3.73%      37.775ms      30.662us       0.000us         0.00%      29.311ms      23.791us          1232  
                     FusedMovingAvgObsFqHelperBackward0         0.28%       2.815ms         2.87%      29.069ms      23.595us       0.000us         0.00%      29.311ms      23.791us          1232  
