-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.12%       6.929ms        16.64%     102.588ms     206.831us       0.000us         0.00%     207.051ms     417.442us           496  
                                   ConvolutionBackward0         0.47%       2.877ms        15.19%      93.667ms     188.845us       0.000us         0.00%     202.702ms     408.673us           496  
                             aten::convolution_backward         9.84%      60.675ms        14.73%      90.790ms     183.044us     201.995ms        36.01%     202.702ms     408.673us           496  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.80%       4.953ms         5.23%      32.241ms      87.611us       0.000us         0.00%      95.359ms     259.128us           368  
                                CudnnBatchNormBackward0         0.30%       1.855ms         4.43%      27.288ms      74.152us       0.000us         0.00%      95.359ms     259.128us           368  
                        aten::cudnn_batch_norm_backward         1.99%      12.257ms         4.13%      25.433ms      69.111us      95.359ms        17.00%      95.359ms     259.128us           368  
                                           aten::conv2d         0.24%       1.495ms         9.01%      55.520ms     111.935us       0.000us         0.00%      59.810ms     120.585us           496  
                                      aten::convolution         0.68%       4.177ms         8.76%      54.025ms     108.921us       0.000us         0.00%      59.810ms     120.585us           496  
                                     aten::_convolution         0.61%       3.759ms         8.09%      49.848ms     100.500us       0.000us         0.00%      59.810ms     120.585us           496  
                                       aten::batch_norm         0.12%     722.000us         4.71%      29.026ms      78.875us       0.000us         0.00%      56.831ms     154.432us           368  
                           aten::_batch_norm_impl_index         0.18%       1.085ms         4.59%      28.304ms      76.913us       0.000us         0.00%      56.831ms     154.432us           368  
                                 aten::cudnn_batch_norm         2.13%      13.143ms         4.42%      27.219ms      73.965us      56.831ms        10.13%      56.831ms     154.432us           368  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      48.076ms         8.57%      48.076ms     400.633us           120  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      39.173ms         6.98%      39.173ms       1.224ms            32  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      34.173ms         6.09%      34.173ms     305.116us           112  
                                aten::cudnn_convolution         5.32%      32.783ms         6.51%      40.116ms     106.691us      33.510ms         5.97%      33.510ms      89.122us           376  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      31.834ms         5.68%      31.834ms     147.380us           216  
                                aten::_conv_depthwise2d         0.20%       1.209ms         0.53%       3.271ms      27.258us      26.044ms         4.64%      26.044ms     217.033us           120  
