-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.09%       7.607ms         4.19%     348.216ms     906.812us       0.000us         0.00%        2.725s       7.096ms           384  
                                         AddmmBackward0         0.07%       5.554ms         3.86%     320.555ms     834.779us       0.000us         0.00%        2.634s       6.859ms           384  
                                               aten::mm         0.35%      28.751ms         3.69%     306.937ms     435.990us        2.634s        31.49%        2.634s       3.741ms           704  
                                           aten::linear         0.02%       1.964ms        11.88%     987.372ms       2.571ms       0.000us         0.00%        2.367s       6.165ms           384  
                                            aten::addmm         0.33%      27.124ms        11.80%     980.358ms       2.553ms        2.367s        28.31%        2.367s       6.165ms           384  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us        2.260s        27.03%        2.260s      17.659ms           128  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us        1.769s        21.15%        1.769s       4.606ms           384  
                                 volta_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     846.945ms        10.13%     846.945ms      13.234ms            64  
                                             aten::add_         0.24%      19.673ms        48.20%        4.005s       1.738ms     817.913ms         9.78%     817.913ms     354.997us          2304  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     817.913ms         9.78%     817.913ms     354.997us          2304  
                                Optimizer.step#SGD.step         0.22%      17.969ms        54.87%        4.559s      71.233ms       0.000us         0.00%     731.718ms      11.433ms            64  
                                aten::mse_loss_backward         0.02%       1.611ms         0.07%       6.191ms      48.367us     270.019ms         3.23%     626.265ms       4.893ms           128  
                                              aten::mul         0.02%       2.039ms         0.04%       3.042ms      23.766us     542.029ms         6.48%     542.029ms       4.235ms           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     542.029ms         6.48%     542.029ms       4.235ms           128  
                                         aten::mse_loss         0.02%       1.826ms         0.06%       5.228ms      81.688us     270.817ms         3.24%     356.667ms       5.573ms            64  
autograd::engine::evaluate_function: MseLossBackward...         0.01%     832.000us         0.07%       5.822ms      90.969us       0.000us         0.00%     356.246ms       5.566ms            64  
                                       MseLossBackward0         0.00%     266.000us         0.06%       4.990ms      77.969us       0.000us         0.00%     356.246ms       5.566ms            64  
      autograd::engine::evaluate_function: EluBackward0         0.05%       4.023ms         0.47%      39.260ms     102.240us       0.000us         0.00%     276.344ms     719.646us           384  
                                           EluBackward0         0.02%       1.607ms         0.42%      35.237ms      91.763us       0.000us         0.00%     276.344ms     719.646us           384  
