-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.62%      21.735ms        10.79%     144.519ms      62.725us     823.940ms        58.93%     823.940ms     357.613us          2304  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     823.940ms        58.93%     823.940ms     357.613us          2304  
                                Optimizer.step#SGD.step         1.09%      14.557ms        10.85%     145.412ms       2.272ms       0.000us         0.00%     737.430ms      11.522ms            64  
autograd::engine::evaluate_function: torch::autograd...         0.59%       7.875ms         2.86%      38.319ms      49.895us       0.000us         0.00%     275.091ms     358.191us           768  
                        torch::autograd::AccumulateGrad         0.48%       6.466ms         2.27%      30.444ms      39.641us       0.000us         0.00%     275.091ms     358.191us           768  
                                             aten::mul_         0.42%       5.624ms         0.76%      10.242ms      13.336us     188.581ms        13.49%     188.581ms     245.548us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     188.581ms        13.49%     188.581ms     245.548us           768  
    autograd::engine::evaluate_function: AddmmBackward0         0.81%      10.851ms        10.72%     143.607ms     373.977us       0.000us         0.00%     167.503ms     436.206us           384  
                                         AddmmBackward0         0.55%       7.352ms         5.26%      70.508ms     183.615us       0.000us         0.00%     165.190ms     430.182us           384  
                                               aten::mm         2.58%      34.541ms         3.83%      51.283ms      72.845us     165.190ms        11.81%     165.190ms     234.645us           704  
                                           aten::linear         0.12%       1.630ms        13.42%     179.854ms     468.370us       0.000us         0.00%     124.741ms     324.846us           384  
                                            aten::addmm         1.25%      16.712ms        13.03%     174.563ms     454.591us     124.741ms         8.92%     124.741ms     324.846us           384  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      97.978ms         7.01%      97.978ms     765.453us           128  
                                            aten::fill_         0.40%       5.323ms        30.60%     410.018ms     457.609us      88.058ms         6.30%      88.058ms      98.279us           896  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      88.058ms         6.30%      88.058ms      98.279us           896  
                                            aten::zero_         0.34%       4.616ms        30.87%     413.689ms     430.926us       0.000us         0.00%      87.985ms      91.651us           960  
                      Optimizer.zero_grad#SGD.zero_grad         0.33%       4.433ms        31.02%     415.635ms       6.494ms       0.000us         0.00%      87.848ms       1.373ms            64  
                        volta_sgemm_128x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      77.853ms         5.57%      77.853ms       1.216ms            64  
                        volta_sgemm_128x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      63.197ms         4.52%      63.197ms     987.453us            64  
