-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.17%       2.448ms         7.12%     100.595ms     661.809us       0.000us         0.00%     592.522ms       3.898ms           152  
                                   ConvolutionBackward0         0.06%     865.000us         6.95%      98.147ms     645.704us       0.000us         0.00%     592.522ms       3.898ms           152  
                             aten::convolution_backward         5.21%      73.565ms         6.89%      97.282ms     640.013us     573.965ms        42.22%     592.522ms       3.898ms           152  
                                           aten::conv2d         0.12%       1.635ms         6.85%      96.801ms     318.424us       0.000us         0.00%     554.590ms       1.824ms           304  
                                      aten::convolution         0.09%       1.270ms         3.02%      42.585ms     280.164us       0.000us         0.00%     275.954ms       1.815ms           152  
                                     aten::_convolution         0.11%       1.591ms         2.93%      41.315ms     271.809us       0.000us         0.00%     275.954ms       1.815ms           152  
                                aten::cudnn_convolution         2.21%      31.212ms         2.56%      36.206ms     238.197us     235.573ms        17.33%     235.573ms       1.550ms           152  
void cudnn::ops::nchwToNhwcKernel<__half, __half, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     184.778ms        13.59%     184.778ms     217.899us           848  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.14%       2.018ms         0.92%      13.037ms      90.535us       0.000us         0.00%     126.536ms     878.722us           144  
                                CudnnBatchNormBackward0         0.05%     693.000us         0.78%      11.019ms      76.521us       0.000us         0.00%     126.536ms     878.722us           144  
                        aten::cudnn_batch_norm_backward         0.38%       5.377ms         0.73%      10.326ms      71.708us     126.536ms         9.31%     126.536ms     878.722us           144  
void cudnn::bn_bw_1C11_kernel_new<__half, float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us     122.781ms         9.03%     122.781ms       1.279ms            96  
_ZN13cutlass_cudnn6KernelINS_4conv6kernel23ImplicitG...         0.00%       0.000us         0.00%       0.000us       0.000us      93.335ms         6.87%      93.335ms       5.833ms            16  
void cudnn::ops::nhwcToNchwKernel<__half, __half, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      67.869ms         4.99%      67.869ms     163.147us           416  
void xmma_cudnn::gemm::kernel<xmma_cudnn::implicit_g...         0.00%       0.000us         0.00%       0.000us       0.000us      67.763ms         4.98%      67.763ms     847.038us            80  
sm75_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      64.227ms         4.72%      64.227ms       1.147ms            56  
autograd::engine::evaluate_function: UpsampleBilinea...         0.02%     222.000us         0.13%       1.847ms      57.719us       0.000us         0.00%      63.437ms       1.982ms            32  
