-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.04%       5.884ms        17.91%     101.725ms     239.917us       0.000us         0.00%     228.525ms     538.974us           424  
                                   ConvolutionBackward0         0.43%       2.443ms        16.33%      92.771ms     218.800us       0.000us         0.00%     213.640ms     503.868us           424  
                             aten::convolution_backward        11.44%      64.963ms        15.90%      90.328ms     213.038us     213.640ms        43.00%     213.640ms     503.868us           424  
                                           aten::conv2d         0.23%       1.307ms         9.52%      54.086ms     127.561us       0.000us         0.00%      78.938ms     186.175us           424  
                                      aten::convolution         0.63%       3.588ms         9.29%      52.779ms     124.479us       0.000us         0.00%      78.938ms     186.175us           424  
                                     aten::_convolution         0.46%       2.603ms         8.66%      49.191ms     116.017us       0.000us         0.00%      78.938ms     186.175us           424  
                                aten::cudnn_convolution         6.60%      37.491ms         8.20%      46.588ms     109.877us      78.938ms        15.89%      78.938ms     186.175us           424  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      49.418ms         9.95%      49.418ms     268.576us           184  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.95%       5.398ms         6.06%      34.439ms      81.224us       0.000us         0.00%      48.016ms     113.245us           424  
                                CudnnBatchNormBackward0         0.35%       2.014ms         5.11%      29.041ms      68.493us       0.000us         0.00%      48.016ms     113.245us           424  
                        aten::cudnn_batch_norm_backward         2.46%      13.966ms         4.76%      27.027ms      63.743us      48.016ms         9.66%      48.016ms     113.245us           424  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      41.109ms         8.27%      41.109ms      14.516us          2832  
                               Optimizer.step#Adam.step        12.79%      72.674ms        42.88%     243.583ms      30.448ms       0.000us         0.00%      36.186ms       4.523ms             8  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      34.253ms         6.89%      34.253ms     152.915us           224  
                                       aten::batch_norm         0.14%     776.000us         5.65%      32.109ms      75.729us       0.000us         0.00%      31.424ms      74.113us           424  
                           aten::_batch_norm_impl_index         0.22%       1.255ms         5.52%      31.333ms      73.899us       0.000us         0.00%      31.424ms      74.113us           424  
                                 aten::cudnn_batch_norm         2.73%      15.498ms         5.30%      30.078ms      70.939us      31.424ms         6.33%      31.424ms      74.113us           424  
                                             aten::add_         7.89%      44.818ms        14.85%      84.374ms      14.792us      30.174ms         6.07%      30.174ms       5.290us          5704  
     autograd::engine::evaluate_function: ReluBackward0         0.50%       2.825ms         2.37%      13.467ms      34.355us       0.000us         0.00%      26.094ms      66.566us           392  
