-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.67%       6.097ms        11.46%     104.410ms     246.250us       0.000us         0.00%     442.616ms       1.044ms           424  
                                   ConvolutionBackward0         0.28%       2.508ms        10.45%      95.181ms     224.483us       0.000us         0.00%     412.720ms     973.396us           424  
                             aten::convolution_backward         7.34%      66.842ms        10.18%      92.673ms     218.568us     412.720ms        44.67%     412.720ms     973.396us           424  
                                           aten::conv2d         0.14%       1.288ms         6.00%      54.685ms     128.974us       0.000us         0.00%     142.253ms     335.502us           424  
                                      aten::convolution         0.39%       3.524ms         5.86%      53.397ms     125.936us       0.000us         0.00%     142.253ms     335.502us           424  
                                     aten::_convolution         0.28%       2.522ms         5.48%      49.873ms     117.625us       0.000us         0.00%     142.253ms     335.502us           424  
                                aten::cudnn_convolution         4.18%      38.036ms         5.20%      47.351ms     111.677us     142.253ms        15.40%     142.253ms     335.502us           424  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.61%       5.571ms         3.98%      36.270ms      85.542us       0.000us         0.00%     101.206ms     238.693us           424  
                                CudnnBatchNormBackward0         0.22%       2.013ms         3.37%      30.699ms      72.403us       0.000us         0.00%     101.206ms     238.693us           424  
                        aten::cudnn_batch_norm_backward         1.67%      15.244ms         3.15%      28.686ms      67.656us     101.206ms        10.95%     101.206ms     238.693us           424  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     100.745ms        10.90%     100.745ms     547.527us           184  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      71.285ms         7.71%      71.285ms      25.171us          2832  
                                       aten::batch_norm         0.09%     807.000us         3.64%      33.155ms      78.196us       0.000us         0.00%      62.661ms     147.785us           424  
                           aten::_batch_norm_impl_index         0.14%       1.233ms         3.55%      32.348ms      76.292us       0.000us         0.00%      62.661ms     147.785us           424  
                                 aten::cudnn_batch_norm         1.78%      16.238ms         3.42%      31.115ms      73.384us      62.661ms         6.78%      62.661ms     147.785us           424  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      61.867ms         6.70%      61.867ms     276.192us           224  
     autograd::engine::evaluate_function: ReluBackward0         0.31%       2.853ms         1.54%      14.039ms      35.814us       0.000us         0.00%      51.802ms     132.148us           392  
                                          ReluBackward0         0.20%       1.839ms         1.23%      11.186ms      28.536us       0.000us         0.00%      51.802ms     132.148us           392  
                               aten::threshold_backward         0.67%       6.122ms         1.03%       9.347ms      23.844us      51.802ms         5.61%      51.802ms     132.148us           392  
