-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.67%       6.849ms         9.85%     100.794ms     237.722us       0.000us         0.00%      74.961ms     176.795us           424  
                                   ConvolutionBackward0         0.24%       2.486ms         8.77%      89.810ms     211.816us       0.000us         0.00%      73.304ms     172.887us           424  
                             aten::convolution_backward         6.25%      63.978ms         8.53%      87.324ms     205.953us      73.304ms        25.57%      73.304ms     172.887us           424  
                               Optimizer.step#Adam.step         7.95%      81.379ms        25.92%     265.344ms      33.168ms       0.000us         0.00%      43.120ms       5.390ms             8  
                  aten::fused_moving_avg_obs_fake_quant         0.21%       2.139ms        17.27%     176.779ms     172.636us       0.000us         0.00%      42.510ms      41.514us          1024  
                  aten::_fused_moving_avg_obs_fq_helper         2.22%      22.747ms        17.06%     174.640ms     170.547us       8.317ms         2.90%      42.510ms      41.514us          1024  
                                           aten::conv2d         0.15%       1.491ms         7.78%      79.592ms     187.717us       0.000us         0.00%      32.343ms      76.281us           424  
                                      aten::convolution         0.39%       3.986ms         7.63%      78.101ms     184.200us       0.000us         0.00%      32.343ms      76.281us           424  
                                     aten::_convolution         0.48%       4.869ms         7.24%      74.115ms     174.800us       0.000us         0.00%      32.343ms      76.281us           424  
                                aten::cudnn_convolution         4.63%      47.401ms         5.82%      59.578ms     140.514us      29.600ms        10.33%      29.600ms      69.811us           424  
                                              aten::mul         3.37%      34.466ms         5.27%      53.981ms      19.904us      25.470ms         8.89%      25.470ms       9.392us          2712  
      autograd::engine::evaluate_function: DivBackward0         1.11%      11.346ms         8.20%      83.976ms      99.028us       0.000us         0.00%      24.897ms      29.360us           848  
                                              aten::div         5.29%      54.162ms         7.71%      78.951ms      20.560us      20.204ms         7.05%      20.204ms       5.261us          3840  
                                             aten::add_         4.35%      44.563ms         8.40%      85.996ms      14.333us      19.455ms         6.79%      19.455ms       3.243us          6000  
       aten::fake_quantize_per_channel_affine_cachemask         1.17%      11.933ms         6.33%      64.806ms     150.014us      12.988ms         4.53%      17.906ms      41.449us           432  
                                           DivBackward0         0.67%       6.836ms         5.48%      56.081ms      66.133us       0.000us         0.00%      17.472ms      20.604us           848  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.691ms         5.82%      16.691ms       4.536us          3680  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.490ms         5.06%      14.490ms       3.750us          3864  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.947ms         4.87%      13.947ms       8.223us          1696  
