-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.50%       7.931ms         7.68%     120.737ms     284.757us       0.000us         0.00%     426.946ms       1.007ms           424  
                                   ConvolutionBackward0         0.19%       2.910ms         6.96%     109.393ms     258.002us       0.000us         0.00%     396.979ms     936.271us           424  
                             aten::convolution_backward         4.92%      77.320ms         6.77%     106.483ms     251.139us     396.979ms        27.20%     396.979ms     936.271us           424  
      autograd::engine::evaluate_function: DivBackward0         0.84%      13.160ms         5.91%      92.927ms     109.584us       0.000us         0.00%     252.846ms     298.167us           848  
                                           DivBackward0         0.49%       7.661ms         3.80%      59.707ms      70.409us       0.000us         0.00%     227.388ms     268.146us           848  
                                           aten::conv2d         0.10%       1.560ms         4.77%      74.992ms     176.868us       0.000us         0.00%     181.422ms     427.882us           424  
                                      aten::convolution         0.25%       3.924ms         4.67%      73.432ms     173.189us       0.000us         0.00%     181.422ms     427.882us           424  
                                     aten::_convolution         0.31%       4.862ms         4.42%      69.508ms     163.934us       0.000us         0.00%     181.422ms     427.882us           424  
                                              aten::div         3.32%      52.241ms         7.54%     118.555ms      30.874us     171.341ms        11.74%     171.341ms      44.620us          3840  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     166.240ms        11.39%     166.240ms      98.019us          1696  
                                              aten::mul         2.51%      39.463ms         3.96%      62.225ms      22.944us     144.898ms         9.93%     144.898ms      53.428us          2712  
                                aten::cudnn_convolution         2.87%      45.187ms         3.48%      54.768ms     129.170us     140.543ms         9.63%     140.543ms     331.469us           424  
                  aten::fused_moving_avg_obs_fake_quant         0.14%       2.227ms        24.32%     382.406ms     373.443us       0.000us         0.00%     127.513ms     124.524us          1024  
                  aten::_fused_moving_avg_obs_fq_helper         1.53%      24.124ms        24.18%     380.179ms     371.269us       6.503ms         0.45%     127.513ms     124.524us          1024  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.39%       6.132ms         2.56%      40.304ms      95.057us       0.000us         0.00%     101.395ms     239.139us           424  
                                CudnnBatchNormBackward0         0.14%       2.196ms         2.17%      34.172ms      80.594us       0.000us         0.00%     101.395ms     239.139us           424  
                        aten::cudnn_batch_norm_backward         1.02%      15.968ms         2.03%      31.976ms      75.415us     101.395ms         6.95%     101.395ms     239.139us           424  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      96.442ms         6.61%      96.442ms     524.141us           184  
