-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.20%       9.390ms         8.21%     387.379ms     913.630us       0.000us         0.00%        3.167s       7.469ms           424  
                                   ConvolutionBackward0         0.08%       3.831ms         7.91%     373.181ms     880.144us       0.000us         0.00%        3.046s       7.184ms           424  
                             aten::convolution_backward         3.54%     167.088ms         7.83%     369.350ms     871.108us        3.046s        53.57%        3.046s       7.184ms           424  
                                           aten::conv2d         0.03%       1.263ms         2.00%      94.217ms     222.210us       0.000us         0.00%     924.159ms       2.180ms           424  
                                      aten::convolution         0.08%       3.687ms         1.97%      92.954ms     219.231us       0.000us         0.00%     924.159ms       2.180ms           424  
                                     aten::_convolution         0.06%       2.611ms         1.89%      89.267ms     210.535us       0.000us         0.00%     924.159ms       2.180ms           424  
                                aten::cudnn_convolution         1.09%      51.247ms         1.84%      86.656ms     204.377us     924.159ms        16.25%     924.159ms       2.180ms           424  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.18%       8.610ms         1.26%      59.436ms     140.179us       0.000us         0.00%     564.610ms       1.332ms           424  
                                CudnnBatchNormBackward0         0.07%       3.160ms         1.08%      50.826ms     119.873us       0.000us         0.00%     564.610ms       1.332ms           424  
                        aten::cudnn_batch_norm_backward         0.46%      21.759ms         1.01%      47.666ms     112.420us     564.610ms         9.93%     564.610ms       1.332ms           424  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     535.249ms         9.41%     535.249ms     209.082us          2560  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     474.230ms         8.34%     474.230ms       3.120ms           152  
void cudnn::cnn::wgrad_alg1_engine<float, float, 128...         0.00%       0.000us         0.00%       0.000us       0.000us     362.662ms         6.38%     362.662ms       3.238ms           112  
                                       aten::batch_norm         0.02%     798.000us         0.71%      33.622ms      79.297us       0.000us         0.00%     349.679ms     824.715us           424  
                           aten::_batch_norm_impl_index         0.03%       1.226ms         0.70%      32.824ms      77.415us       0.000us         0.00%     349.679ms     824.715us           424  
                                 aten::cudnn_batch_norm         0.33%      15.546ms         0.67%      31.598ms      74.524us     349.679ms         6.15%     349.679ms     824.715us           424  
void cudnn::detail::dgrad_alg1_engine<float, 512, 6,...         0.00%       0.000us         0.00%       0.000us       0.000us     303.822ms         5.34%     303.822ms     107.891us          2816  
              volta_scudnn_128x128_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     292.247ms         5.14%     292.247ms       2.029ms           144  
