-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.60%       7.466ms        20.41%     255.554ms     602.722us       0.000us         0.00%        1.236s       2.916ms           424  
                                   ConvolutionBackward0         0.24%       3.006ms        19.51%     244.255ms     576.073us       0.000us         0.00%        1.206s       2.845ms           424  
                             aten::convolution_backward         9.41%     117.809ms        19.27%     241.249ms     568.983us        1.206s        61.68%        1.206s       2.845ms           424  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     309.631ms        15.83%     309.631ms     100.791us          3072  
                                           aten::conv2d         0.11%       1.325ms         7.71%      96.593ms     227.814us       0.000us         0.00%     299.403ms     706.139us           424  
                                      aten::convolution         0.31%       3.887ms         7.61%      95.268ms     224.689us       0.000us         0.00%     299.403ms     706.139us           424  
                                     aten::_convolution         0.21%       2.627ms         7.30%      91.381ms     215.521us       0.000us         0.00%     299.403ms     706.139us           424  
                                aten::cudnn_convolution         4.34%      54.322ms         7.09%      88.754ms     209.325us     299.403ms        15.31%     299.403ms     706.139us           424  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     176.538ms         9.03%     176.538ms     172.400us          1024  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     171.949ms         8.79%     171.949ms     826.678us           208  
void cudnn::detail::dgrad_alg1_engine<float, 512, 6,...         0.00%       0.000us         0.00%       0.000us       0.000us     134.062ms         6.86%     134.062ms      47.607us          2816  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.55%       6.869ms         3.55%      44.451ms     104.837us       0.000us         0.00%     131.182ms     309.392us           424  
                                CudnnBatchNormBackward0         0.20%       2.485ms         3.00%      37.582ms      88.637us       0.000us         0.00%     131.182ms     309.392us           424  
                        aten::cudnn_batch_norm_backward         1.47%      18.374ms         2.80%      35.097ms      82.776us     131.182ms         6.71%     131.182ms     309.392us           424  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     105.963ms         5.42%     105.963ms     509.438us           208  
              volta_scudnn_128x128_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     102.963ms         5.27%     102.963ms     559.582us           184  
void cudnn::detail::dgrad2d_alg1_1<float, 0, 5, 6, 4...         0.00%       0.000us         0.00%       0.000us       0.000us      83.446ms         4.27%      83.446ms     108.654us           768  
