-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.14%       5.511ms         2.24%      86.690ms     193.504us       0.000us         0.00%        1.281s       2.859ms           448  
                                   ConvolutionBackward0         0.07%       2.539ms         2.09%      80.697ms     180.127us       0.000us         0.00%        1.244s       2.778ms           448  
                             aten::convolution_backward         1.31%      50.590ms         2.02%      78.158ms     174.460us        1.206s        31.33%        1.244s       2.778ms           448  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.15%       5.901ms         0.94%      36.145ms      80.681us       0.000us         0.00%     721.697ms       1.611ms           448  
                                CudnnBatchNormBackward0         0.05%       2.119ms         0.78%      30.244ms      67.509us       0.000us         0.00%     721.697ms       1.611ms           448  
                        aten::cudnn_batch_norm_backward         0.37%      14.346ms         0.73%      28.125ms      62.779us     721.697ms        18.75%     721.697ms       1.611ms           448  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     510.326ms        13.26%     510.326ms       1.181ms           432  
                                       aten::batch_norm         0.02%     854.000us         0.88%      33.865ms      75.592us       0.000us         0.00%     429.919ms     959.641us           448  
                           aten::_batch_norm_impl_index         0.03%       1.256ms         0.85%      33.011ms      73.685us       0.000us         0.00%     429.919ms     959.641us           448  
                                 aten::cudnn_batch_norm         0.42%      16.351ms         0.82%      31.755ms      70.882us     429.919ms        11.17%     429.919ms     959.641us           448  
                                           aten::conv2d         0.03%       1.350ms         1.30%      50.195ms     112.042us       0.000us         0.00%     391.202ms     873.219us           448  
                                      aten::convolution         0.10%       3.933ms         1.26%      48.845ms     109.029us       0.000us         0.00%     391.202ms     873.219us           448  
                                     aten::_convolution         0.09%       3.390ms         1.16%      44.912ms     100.250us       0.000us         0.00%     391.202ms     873.219us           448  
void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, ...         0.00%       0.000us         0.00%       0.000us       0.000us     309.331ms         8.04%     309.331ms     716.044us           432  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     270.063ms         7.02%     270.063ms     572.167us           472  
                                            aten::clone         0.06%       2.148ms         0.39%      15.169ms      32.692us       0.000us         0.00%     270.007ms     581.912us           464  
                                            aten::copy_         0.19%       7.532ms         0.29%      11.389ms       6.244us     270.007ms         7.02%     270.007ms     148.030us          1824  
     autograd::engine::evaluate_function: ReluBackward0         0.05%       2.072ms         0.28%      10.886ms      36.777us       0.000us         0.00%     255.989ms     864.828us           296  
                                          ReluBackward0         0.04%       1.403ms         0.23%       8.814ms      29.777us       0.000us         0.00%     255.989ms     864.828us           296  
