-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.36%       6.876ms         5.53%     105.963ms     236.525us       0.000us         0.00%     641.101ms       1.431ms           448  
                                   ConvolutionBackward0         0.16%       3.154ms         5.14%      98.523ms     219.917us       0.000us         0.00%     622.881ms       1.390ms           448  
                             aten::convolution_backward         3.33%      63.824ms         4.98%      95.369ms     212.877us     603.509ms        31.66%     622.881ms       1.390ms           448  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.39%       7.389ms         2.34%      44.906ms     100.237us       0.000us         0.00%     339.535ms     757.891us           448  
                                CudnnBatchNormBackward0         0.13%       2.574ms         1.96%      37.517ms      83.743us       0.000us         0.00%     339.535ms     757.891us           448  
                        aten::cudnn_batch_norm_backward         0.92%      17.541ms         1.82%      34.943ms      77.998us     339.535ms        17.81%     339.535ms     757.891us           448  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     235.899ms        12.38%     235.899ms     546.062us           432  
                                       aten::batch_norm         0.05%     878.000us         1.87%      35.783ms      79.873us       0.000us         0.00%     208.905ms     466.306us           448  
                           aten::_batch_norm_impl_index         0.07%       1.341ms         1.82%      34.905ms      77.913us       0.000us         0.00%     208.905ms     466.306us           448  
                                 aten::cudnn_batch_norm         0.87%      16.651ms         1.75%      33.564ms      74.920us     208.905ms        10.96%     208.905ms     466.306us           448  
                                           aten::conv2d         0.07%       1.392ms         2.65%      50.698ms     113.165us       0.000us         0.00%     200.041ms     446.520us           448  
                                      aten::convolution         0.20%       3.921ms         2.57%      49.306ms     110.058us       0.000us         0.00%     200.041ms     446.520us           448  
                                     aten::_convolution         0.18%       3.468ms         2.37%      45.385ms     101.306us       0.000us         0.00%     200.041ms     446.520us           448  
void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, ...         0.00%       0.000us         0.00%       0.000us       0.000us     150.319ms         7.89%     150.319ms     347.961us           432  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     135.578ms         7.11%     135.578ms     287.242us           472  
                                            aten::clone         0.13%       2.481ms         0.92%      17.614ms      37.961us       0.000us         0.00%     135.538ms     292.108us           464  
                                            aten::copy_         0.43%       8.282ms         0.66%      12.664ms       6.943us     135.538ms         7.11%     135.538ms      74.308us          1824  
     autograd::engine::evaluate_function: ReluBackward0         0.14%       2.702ms         0.71%      13.572ms      45.851us       0.000us         0.00%     128.350ms     433.615us           296  
                                          ReluBackward0         0.09%       1.675ms         0.57%      10.870ms      36.723us       0.000us         0.00%     128.350ms     433.615us           296  
