-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.97%      44.026ms        45.84%        2.074s     623.189us       0.000us         0.00%        2.201s     661.367us          3328  
                                   ConvolutionBackward0         0.40%      18.210ms        43.66%        1.975s     593.545us       0.000us         0.00%        2.171s     652.493us          3328  
                             aten::convolution_backward        10.27%     464.650ms        43.25%        1.957s     588.073us        2.003s        42.42%        2.171s     652.493us          3328  
                                           aten::conv2d         0.29%      12.935ms        14.93%     675.404ms     202.946us       0.000us         0.00%     915.323ms     275.037us          3328  
                                      aten::convolution         0.72%      32.444ms        14.64%     662.469ms     199.059us       0.000us         0.00%     915.323ms     275.037us          3328  
                                     aten::_convolution         0.93%      41.977ms        13.92%     630.025ms     189.310us       0.000us         0.00%     915.323ms     275.037us          3328  
                                aten::cudnn_convolution         7.54%     341.195ms        10.58%     478.671ms     143.831us     609.828ms        12.92%     609.828ms     183.242us          3328  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.08%       3.620ms         1.13%      51.259ms     133.487us       0.000us         0.00%     448.747ms       1.169ms           384  
                          MaxPool2DWithIndicesBackward0         0.04%       1.734ms         1.05%      47.639ms     124.060us       0.000us         0.00%     448.747ms       1.169ms           384  
                 aten::max_pool2d_with_indices_backward         0.14%       6.477ms         1.01%      45.905ms     119.544us     371.325ms         7.87%     448.747ms       1.169ms           384  
     autograd::engine::evaluate_function: ReluBackward0         0.48%      21.707ms        10.96%     496.133ms     149.078us       0.000us         0.00%     445.100ms     133.744us          3328  
                                          ReluBackward0         0.31%      13.943ms        10.49%     474.426ms     142.556us       0.000us         0.00%     445.100ms     133.744us          3328  
                               aten::threshold_backward         1.07%      48.494ms        10.18%     460.483ms     138.366us     445.100ms         9.43%     445.100ms     133.744us          3328  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     396.684ms         8.40%     396.684ms     442.728us           896  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us     371.325ms         7.87%     371.325ms     966.992us           384  
                                             aten::add_         2.34%     105.935ms        15.08%     682.500ms      60.764us     324.738ms         6.88%     324.738ms      28.912us         11232  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     305.495ms         6.47%     305.495ms      91.795us          3328  
                                            aten::relu_         0.82%      37.133ms         2.64%     119.536ms      35.918us       0.000us         0.00%     305.177ms      91.700us          3328  
                                       aten::clamp_min_         0.69%      31.152ms         1.82%      82.403ms      24.761us     305.177ms         6.47%     305.177ms      91.700us          3328  
