-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.50%       8.263ms        22.47%     123.657ms     190.829us       0.000us         0.00%     181.373ms     279.897us           648  
                                   ConvolutionBackward0         0.63%       3.477ms        20.67%     113.748ms     175.537us       0.000us         0.00%     180.382ms     278.367us           648  
                             aten::convolution_backward        12.89%      70.960ms        20.04%     110.271ms     170.171us     179.129ms        35.99%     180.382ms     278.367us           648  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.89%       4.914ms         5.49%      30.224ms      77.102us       0.000us         0.00%      65.361ms     166.737us           392  
                                CudnnBatchNormBackward0         0.32%       1.784ms         4.60%      25.310ms      64.566us       0.000us         0.00%      65.361ms     166.737us           392  
                        aten::cudnn_batch_norm_backward         2.21%      12.152ms         4.27%      23.526ms      60.015us      65.361ms        13.13%      65.361ms     166.737us           392  
                                           aten::conv2d         0.40%       2.202ms        13.40%      73.733ms     113.785us       0.000us         0.00%      55.480ms      85.617us           648  
                                      aten::convolution         1.00%       5.520ms        13.00%      71.531ms     110.387us       0.000us         0.00%      55.480ms      85.617us           648  
                                     aten::_convolution         0.92%       5.044ms        11.99%      66.011ms     101.869us       0.000us         0.00%      55.480ms      85.617us           648  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      46.899ms         9.42%      46.899ms     366.398us           128  
                                            aten::silu_         0.89%       4.878ms         3.71%      20.393ms      52.023us      23.320ms         4.69%      46.242ms     117.964us           392  
                                       aten::batch_norm         0.14%     797.000us         5.90%      32.452ms      82.786us       0.000us         0.00%      39.310ms     100.281us           392  
                           aten::_batch_norm_impl_index         0.22%       1.222ms         5.75%      31.655ms      80.753us       0.000us         0.00%      39.310ms     100.281us           392  
                                 aten::cudnn_batch_norm         2.83%      15.552ms         5.53%      30.433ms      77.635us      39.310ms         7.90%      39.310ms     100.281us           392  
     autograd::engine::evaluate_function: SiluBackward0         0.58%       3.192ms         2.20%      12.089ms      30.839us       0.000us         0.00%      34.024ms      86.796us           392  
                                          SiluBackward0         0.20%       1.119ms         1.62%       8.897ms      22.696us       0.000us         0.00%      34.024ms      86.796us           392  
                                    aten::silu_backward         0.88%       4.864ms         1.41%       7.778ms      19.842us      34.024ms         6.84%      34.024ms      86.796us           392  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      34.024ms         6.84%      34.024ms      86.796us           392  
                                aten::cudnn_convolution         7.77%      42.792ms         9.45%      52.010ms     100.019us      31.108ms         6.25%      31.108ms      59.823us           520  
