-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.15%      13.219ms        18.80%        1.610s       2.485ms       0.000us         0.00%        4.108s       6.339ms           648  
                                   ConvolutionBackward0         0.06%       4.990ms        18.64%        1.597s       2.464ms       0.000us         0.00%        4.101s       6.329ms           648  
                             aten::convolution_backward         1.88%     160.906ms        18.58%        1.592s       2.456ms        4.026s        44.05%        4.101s       6.329ms           648  
                                           aten::conv2d         0.02%       2.032ms         1.69%     144.506ms     223.003us       0.000us         0.00%        3.389s       5.230ms           648  
                                      aten::convolution         0.07%       6.107ms         1.66%     142.474ms     219.867us       0.000us         0.00%        3.389s       5.230ms           648  
                                     aten::_convolution         0.08%       7.099ms         1.59%     136.367ms     210.443us       0.000us         0.00%        3.389s       5.230ms           648  
void cudnn::ops::genericTranspose_kernel<float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us        3.253s        35.60%        3.253s       2.479ms          1312  
                                aten::cudnn_convolution         0.93%      79.833ms         1.34%     114.857ms     177.248us        3.238s        35.43%        3.238s       4.997ms           648  
                                              aten::mul         0.47%      40.255ms         8.29%     709.852ms     297.757us     611.662ms         6.69%     611.662ms     256.570us          2384  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     520.574ms         5.70%     520.574ms     124.420us          4184  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     503.961ms         5.51%     503.961ms     940.226us           536  
      autograd::engine::evaluate_function: MulBackward0         0.16%      13.768ms        12.69%        1.087s     803.922us       0.000us         0.00%     490.930ms     363.114us          1352  
                                           MulBackward0         0.06%       5.362ms         8.14%     697.049ms     515.569us       0.000us         0.00%     448.472ms     331.710us          1352  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     414.486ms         4.54%     414.486ms       3.701ms           112  
void cudnn::cnn::wgrad_alg1_engine<float, float, 128...         0.00%       0.000us         0.00%       0.000us       0.000us     332.122ms         3.63%     332.122ms       2.965ms           112  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     295.856ms         3.24%     295.856ms       1.370ms           216  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     287.390ms         3.14%     287.390ms     317.909us           904  
              volta_scudnn_128x128_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     272.844ms         2.99%     272.844ms       2.006ms           136  
