-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.10%       8.657ms        25.30%     199.043ms     307.165us       0.000us         0.00%     376.177ms     580.520us           648  
                                   ConvolutionBackward0         0.41%       3.248ms        24.18%     190.243ms     293.585us       0.000us         0.00%     375.809ms     579.952us           648  
                             aten::convolution_backward        14.12%     111.119ms        23.77%     186.995ms     288.573us     367.113ms        46.88%     375.809ms     579.952us           648  
                                           aten::conv2d         0.26%       2.027ms        14.96%     117.723ms     181.671us       0.000us         0.00%     205.650ms     317.361us           648  
                                      aten::convolution         0.73%       5.724ms        14.70%     115.696ms     178.543us       0.000us         0.00%     205.650ms     317.361us           648  
                                     aten::_convolution         0.87%       6.867ms        13.98%     109.972ms     169.710us       0.000us         0.00%     205.650ms     317.361us           648  
                                aten::cudnn_convolution         8.48%      66.691ms        11.29%      88.863ms     137.134us     196.792ms        25.13%     196.792ms     303.691us           648  
void cudnn::ops::genericTranspose_kernel<float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     115.481ms        14.75%     115.481ms     515.540us           224  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      75.552ms         9.65%      75.552ms       8.440us          8952  
                   volta_scudnn_128x64_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      70.171ms         8.96%      70.171ms     128.991us           544  
                                Optimizer.step#SGD.step         6.33%      49.842ms        21.49%     169.093ms      21.137ms       0.000us         0.00%      60.886ms       7.611ms             8  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      54.189ms         6.92%      54.189ms      39.612us          1368  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      48.892ms         6.24%      48.892ms     291.024us           168  
                                             aten::add_         5.98%      47.027ms        10.60%      83.418ms      13.368us      46.035ms         5.88%      46.035ms       7.377us          6240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      41.599ms         5.31%      41.599ms       9.942us          4184  
                                              aten::mul         3.95%      31.079ms         5.92%      46.567ms      19.533us      39.745ms         5.07%      39.745ms      16.672us          2384  
                                              aten::add         4.25%      33.426ms         6.63%      52.168ms      15.526us      38.375ms         4.90%      38.375ms      11.421us          3360  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      37.050ms         4.73%      37.050ms     154.375us           240  
