-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.39%      16.252ms        33.51%     391.982ms     349.984us       0.000us         0.00%     316.595ms     282.674us          1120  
                                   ConvolutionBackward0         0.57%       6.674ms        31.67%     370.483ms     330.788us       0.000us         0.00%     310.723ms     277.431us          1120  
                             aten::convolution_backward        18.27%     213.688ms        31.10%     363.809ms     324.829us     308.985ms        51.95%     310.723ms     277.431us          1120  
                                           aten::conv2d         0.30%       3.507ms        14.06%     164.423ms     146.806us       0.000us         0.00%     134.203ms     119.824us          1120  
                                      aten::convolution         0.84%       9.817ms        13.76%     160.916ms     143.675us       0.000us         0.00%     134.203ms     119.824us          1120  
                                     aten::_convolution         0.72%       8.406ms        12.92%     151.099ms     134.910us       0.000us         0.00%     134.203ms     119.824us          1120  
                                aten::cudnn_convolution         8.64%     101.106ms        11.42%     133.537ms     119.229us     133.335ms        22.42%     133.335ms     119.049us          1120  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      96.560ms        16.24%      96.560ms      42.650us          2264  
void implicit_convolve_sgemm<float, float, 128, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us      50.529ms         8.50%      50.529ms      18.742us          2696  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      40.630ms         6.83%      40.630ms     137.264us           296  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      36.828ms         6.19%      36.828ms       2.718us         13552  
void cudnn::detail::dgrad2d_alg1_1<float, 0, 5, 6, 4...         0.00%       0.000us         0.00%       0.000us       0.000us      33.502ms         5.63%      33.502ms      72.203us           464  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.80%       9.362ms         5.01%      58.574ms      85.137us       0.000us         0.00%      33.292ms      48.390us           688  
                                CudnnBatchNormBackward0         0.30%       3.532ms         4.21%      49.212ms      71.529us       0.000us         0.00%      33.292ms      48.390us           688  
                        aten::cudnn_batch_norm_backward         2.02%      23.621ms         3.91%      45.680ms      66.395us      33.292ms         5.60%      33.292ms      48.390us           688  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      30.495ms         5.13%      30.495ms      70.590us           432  
              volta_scudnn_128x128_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      29.144ms         4.90%      29.144ms     101.194us           288  
