-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.53%       4.626ms        23.26%     203.259ms     651.471us       0.000us         0.00%     487.552ms       1.563ms           312  
                                   ConvolutionBackward0         0.18%       1.611ms        22.09%     193.048ms     618.744us       0.000us         0.00%     468.804ms       1.503ms           312  
                             aten::convolution_backward         5.01%      43.807ms        21.91%     191.437ms     613.580us     468.804ms        51.88%     468.804ms       1.503ms           312  
                                           aten::conv2d         0.12%       1.024ms         9.47%      82.763ms     265.266us       0.000us         0.00%     188.009ms     602.593us           312  
                                      aten::convolution         0.33%       2.841ms         9.35%      81.739ms     261.984us       0.000us         0.00%     188.009ms     602.593us           312  
                                     aten::_convolution         0.21%       1.817ms         9.03%      78.898ms     252.878us       0.000us         0.00%     188.009ms     602.593us           312  
                                aten::cudnn_convolution         3.11%      27.208ms         8.82%      77.081ms     247.054us     188.009ms        20.80%     188.009ms     602.593us           312  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     139.358ms        15.42%     139.358ms     285.570us           488  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      84.572ms         9.36%      84.572ms       2.643ms            32  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.41%       3.599ms         6.24%      54.552ms     174.846us       0.000us         0.00%      63.234ms     202.673us           312  
                                CudnnBatchNormBackward0         0.16%       1.362ms         5.83%      50.953ms     163.311us       0.000us         0.00%      63.234ms     202.673us           312  
                        aten::cudnn_batch_norm_backward         1.04%       9.110ms         5.68%      49.591ms     158.946us      63.234ms         7.00%      63.234ms     202.673us           312  
                                   volta_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      54.272ms         6.01%      54.272ms     226.133us           240  
void cudnn::winograd_nonfused::winogradForwardData4x...         0.00%       0.000us         0.00%       0.000us       0.000us      50.036ms         5.54%      50.036ms     104.242us           480  
              volta_scudnn_128x128_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      47.368ms         5.24%      47.368ms       1.480ms            32  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      45.998ms         5.09%      45.998ms       1.150ms            40  
void cudnn::winograd_nonfused::winogradForwardOutput...         0.00%       0.000us         0.00%       0.000us       0.000us      42.177ms         4.67%      42.177ms      87.869us           480  
                                       aten::batch_norm         0.07%     588.000us         5.97%      52.132ms     167.090us       0.000us         0.00%      40.416ms     129.538us           312  
