-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.05%       1.394ms        13.03%     339.115ms       3.261ms       0.000us         0.00%        1.312s      12.615ms           104  
                                   ConvolutionBackward0         0.02%     628.000us        12.97%     337.721ms       3.247ms       0.000us         0.00%        1.312s      12.615ms           104  
                             aten::convolution_backward         0.66%      17.192ms        12.95%     337.093ms       3.241ms        1.264s        48.44%        1.312s      12.615ms           104  
                                           aten::conv2d         0.01%     342.000us         8.43%     219.367ms       2.109ms       0.000us         0.00%     673.787ms       6.479ms           104  
                                      aten::convolution         0.04%     989.000us         8.41%     219.025ms       2.106ms       0.000us         0.00%     673.787ms       6.479ms           104  
                                     aten::_convolution         0.04%       1.149ms         8.38%     218.036ms       2.096ms       0.000us         0.00%     673.787ms       6.479ms           104  
                                aten::cudnn_convolution         0.37%       9.530ms         6.28%     163.578ms       1.573ms     574.416ms        22.00%     574.416ms       5.523ms           104  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     532.902ms        20.41%     532.902ms       3.028ms           176  
                                   volta_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     277.810ms        10.64%     277.810ms       3.157ms            88  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us     200.918ms         7.70%     200.918ms      12.557ms            16  
turing_scudnn_128x64_stridedB_splitK_xregs_large_nn_...         0.00%       0.000us         0.00%       0.000us       0.000us     197.564ms         7.57%     197.564ms      24.695ms             8  
void cudnn::winograd_nonfused::winogradForwardData4x...         0.00%       0.000us         0.00%       0.000us       0.000us     195.749ms         7.50%     195.749ms       1.112ms           176  
                                             aten::add_         0.35%       9.104ms        20.78%     541.001ms     479.611us     161.928ms         6.20%     161.928ms     143.553us          1128  
void cudnn::winograd_nonfused::winogradForwardOutput...         0.00%       0.000us         0.00%       0.000us       0.000us     160.345ms         6.14%     160.345ms     911.051us           176  
                               Optimizer.step#Adam.step         0.64%      16.674ms        31.31%     814.968ms     101.871ms       0.000us         0.00%     157.868ms      19.733ms             8  
     autograd::engine::evaluate_function: ReluBackward0         0.03%     842.000us         0.22%       5.704ms      47.533us       0.000us         0.00%     145.493ms       1.212ms           120  
                                          ReluBackward0         0.02%     608.000us         0.19%       4.862ms      40.517us       0.000us         0.00%     145.493ms       1.212ms           120  
                               aten::threshold_backward         0.07%       1.745ms         0.16%       4.254ms      35.450us     145.493ms         5.57%     145.493ms       1.212ms           120  
