-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.55%      11.114ms        11.46%     231.206ms     407.053us       0.000us         0.00%     901.018ms       1.586ms           568  
                                   ConvolutionBackward0         0.21%       4.252ms        10.45%     210.829ms     371.178us       0.000us         0.00%     858.092ms       1.511ms           568  
                             aten::convolution_backward         7.45%     150.300ms        10.24%     206.577ms     363.692us     843.803ms        43.37%     858.092ms       1.511ms           568  
                                      aten::convolution         0.27%       5.413ms         6.48%     130.632ms     199.134us       0.000us         0.00%     500.751ms     763.340us           656  
                                     aten::_convolution         0.26%       5.183ms         6.21%     125.219ms     190.883us       0.000us         0.00%     500.751ms     763.340us           656  
                                           aten::conv2d         0.10%       2.076ms         6.50%     131.013ms     202.181us       0.000us         0.00%     478.972ms     739.154us           648  
                                aten::cudnn_convolution         4.68%      94.326ms         5.63%     113.632ms     175.358us     458.394ms        23.56%     458.394ms     707.398us           648  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us     411.828ms        21.17%     411.828ms       1.283ms           321  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     156.963ms         8.07%     156.963ms     651.299us           241  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     130.220ms         6.69%     130.220ms      32.686us          3984  
                                              aten::add         1.49%      29.991ms         2.23%      44.991ms      19.664us     124.694ms         6.41%     124.694ms      54.499us          2288  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     122.895ms         6.32%     122.895ms     596.578us           206  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     100.850ms         5.18%     100.850ms     403.400us           250  
                                              aten::mul         1.30%      26.155ms         2.05%      41.350ms      19.215us      86.974ms         4.47%      86.974ms      40.415us          2152  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      84.374ms         4.34%      84.374ms      89.379us           944  
                                             aten::add_         1.06%      21.445ms         1.83%      36.950ms      15.143us      83.848ms         4.31%      83.848ms      34.364us          2440  
              volta_scudnn_128x128_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      82.740ms         4.25%      82.740ms     428.705us           193  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      82.226ms         4.23%      82.226ms      76.135us          1080  
