-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.18%       8.431ms         4.92%     229.714ms     404.426us       0.000us         0.00%        2.342s       4.123ms           568  
                                   ConvolutionBackward0         0.07%       3.386ms         4.60%     214.558ms     377.743us       0.000us         0.00%        2.235s       3.936ms           568  
                             aten::convolution_backward         3.07%     143.246ms         4.52%     211.172ms     371.782us        2.205s        44.81%        2.235s       3.936ms           568  
                                      aten::convolution         0.12%       5.626ms         4.03%     187.867ms     286.383us       0.000us         0.00%        1.362s       2.077ms           656  
                                     aten::_convolution         0.12%       5.506ms         3.90%     182.241ms     277.806us       0.000us         0.00%        1.362s       2.077ms           656  
                                           aten::conv2d         0.05%       2.118ms         4.02%     187.649ms     289.582us       0.000us         0.00%        1.316s       2.031ms           648  
                                aten::cudnn_convolution         2.66%     124.198ms         3.63%     169.253ms     261.193us        1.267s        25.74%        1.267s       1.955ms           648  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us        1.012s        20.57%        1.012s       3.087ms           328  
                                   volta_cgemm_32x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     524.753ms        10.66%     524.753ms      91.103us          5760  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     353.560ms         7.18%     353.560ms       1.524ms           232  
                                              aten::add         0.63%      29.468ms         1.04%      48.623ms      20.958us     293.761ms         5.97%     293.761ms     126.621us          2320  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     279.777ms         5.69%     279.777ms      69.115us          4048  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     270.914ms         5.51%     270.914ms       1.382ms           196  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     221.796ms         4.51%     221.796ms     977.075us           227  
                                              aten::mul         0.57%      26.417ms         0.87%      40.760ms      17.155us     213.060ms         4.33%     213.060ms      89.672us          2376  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     209.141ms         4.25%     209.141ms     201.097us          1040  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     200.227ms         4.07%     200.227ms     148.097us          1352  
                                             aten::add_         0.40%      18.741ms         0.97%      45.227ms      18.536us     175.280ms         3.56%     175.280ms      71.836us          2440  
