-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.00%       8.730ms        15.32%     133.632ms     219.789us       0.000us         0.00%     126.980ms     208.849us           608  
                                   ConvolutionBackward0         0.38%       3.358ms        13.74%     119.848ms     197.118us       0.000us         0.00%     124.717ms     205.127us           608  
                             aten::convolution_backward         9.47%      82.632ms        13.35%     116.490ms     191.595us     124.591ms        38.16%     124.717ms     205.127us           608  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      67.426ms        20.65%      67.426ms       5.993us         11250  
                                           aten::conv2d         0.21%       1.860ms         7.55%      65.897ms     108.383us       0.000us         0.00%      62.350ms     102.549us           608  
                                      aten::convolution         0.54%       4.752ms         7.34%      64.037ms     105.324us       0.000us         0.00%      62.350ms     102.549us           608  
                                     aten::_convolution         0.39%       3.424ms         6.80%      59.285ms      97.508us       0.000us         0.00%      62.350ms     102.549us           608  
                                aten::cudnn_convolution         5.10%      44.477ms         6.34%      55.305ms      90.962us      62.253ms        19.07%      62.253ms     102.390us           608  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us      49.972ms        15.31%      49.972ms     109.588us           456  
                                Optimizer.step#SGD.step         4.44%      38.718ms        13.98%     121.956ms      17.422ms       0.000us         0.00%      46.610ms       6.659ms             7  
                                             aten::add_         7.00%      61.079ms        12.65%     110.388ms      13.001us      44.699ms        13.69%      44.699ms       5.264us          8491  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.217ms         8.34%      27.217ms       3.771us          7217  
void cudnn::detail::dgrad_engine<float, 128, 6, 7, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      26.946ms         8.25%      26.946ms     108.653us           248  
void cudnn::cnn::wgrad_alg1_engine<float, float, 128...         0.00%       0.000us         0.00%       0.000us       0.000us      25.062ms         7.68%      25.062ms     156.637us           160  
                                              aten::add         3.98%      34.729ms         6.13%      53.467ms      16.467us      23.771ms         7.28%      23.771ms       7.321us          3247  
                                             aten::mul_         3.33%      29.047ms         6.06%      52.843ms      12.021us      17.660ms         5.41%      17.660ms       4.017us          4396  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      14.099ms         4.32%      14.099ms      67.784us           208  
autograd::engine::evaluate_function: torch::autograd...         1.06%       9.235ms         5.58%      48.708ms      27.060us       0.000us         0.00%      12.235ms       6.797us          1800  
