-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Optimizer.step#Adam.step        12.89%     117.138ms        41.30%     375.449ms      46.931ms       0.000us         0.00%     205.309ms      25.664ms             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      83.839ms        20.26%      83.839ms      14.596us          5744  
    autograd::engine::evaluate_function: AddmmBackward0         0.93%       8.409ms         7.58%      68.939ms     116.451us       0.000us         0.00%      74.152ms     125.257us           592  
                                             aten::add_         5.13%      46.654ms        10.43%      94.774ms      14.958us      69.422ms        16.78%      69.422ms      10.957us          6336  
                                         AddmmBackward0         0.66%       6.025ms         4.78%      43.473ms      73.434us       0.000us         0.00%      68.438ms     115.605us           592  
                                               aten::mm         1.87%      17.029ms         3.16%      28.709ms      24.247us      68.438ms        16.54%      68.438ms      57.802us          1184  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      55.661ms        13.45%      55.661ms      10.447us          5328  
                                           aten::linear         0.47%       4.269ms         5.09%      46.288ms      78.189us       0.000us         0.00%      46.229ms      78.090us           592  
                                            aten::addmm         2.25%      20.453ms         3.58%      32.590ms      55.051us      46.229ms        11.17%      46.229ms      78.090us           592  
                                             aten::mul_         2.82%      25.595ms         5.03%      45.742ms      14.439us      37.503ms         9.06%      37.503ms      11.838us          3168  
                                         aten::addcdiv_         1.53%      13.884ms         2.73%      24.859ms      15.694us      36.569ms         8.84%      36.569ms      23.086us          1584  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      36.569ms         8.84%      36.569ms      23.086us          1584  
                                              aten::add         4.22%      38.341ms         7.05%      64.048ms      21.638us      31.438ms         7.60%      31.438ms      10.621us          2960  
autograd::engine::evaluate_function: torch::autograd...         0.81%       7.330ms         4.69%      42.644ms      26.922us       0.000us         0.00%      27.262ms      17.211us          1584  
                        torch::autograd::AccumulateGrad         0.86%       7.840ms         3.88%      35.314ms      22.294us       0.000us         0.00%      27.262ms      17.211us          1584  
                                         aten::addcmul_         1.57%      14.238ms         2.65%      24.086ms      15.206us      26.396ms         6.38%      26.396ms      16.664us          1584  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.396ms         6.38%      26.396ms      16.664us          1584  
                                  sgemm_32x32x32_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us      25.743ms         6.22%      25.743ms      53.631us           480  
                                  sgemm_32x32x32_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us      22.120ms         5.35%      22.120ms      57.604us           384  
