-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.33%       1.446ms        81.74%     360.808ms       2.255ms     192.856ms        46.32%     192.856ms       1.205ms           160  
                                               aten::to         0.06%     263.000us        82.02%     362.005ms       2.514ms       0.000us         0.00%     188.762ms       1.311ms           144  
                                         aten::_to_copy         0.15%     657.000us        81.96%     361.742ms       2.660ms       0.000us         0.00%     188.762ms       1.388ms           136  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     182.553ms        43.84%     182.553ms       5.705ms            32  
                                           aten::conv2d         0.14%     610.000us         6.34%      27.992ms     129.593us       0.000us         0.00%     124.164ms     574.833us           216  
                                      aten::convolution         0.20%     904.000us         6.20%      27.382ms     126.769us       0.000us         0.00%     124.164ms     574.833us           216  
                                     aten::_convolution         0.32%       1.400ms         6.00%      26.478ms     122.583us       0.000us         0.00%     124.164ms     574.833us           216  
                                aten::cudnn_convolution         4.18%      18.462ms         5.41%      23.897ms     110.634us     113.155ms        27.18%     113.155ms     523.866us           216  
                 maxwell_scudnn_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      24.701ms         5.93%      24.701ms       1.029ms            24  
                                       aten::batch_norm         0.09%     405.000us         2.48%      10.926ms      65.036us       0.000us         0.00%      21.070ms     125.417us           168  
                           aten::_batch_norm_impl_index         0.11%     490.000us         2.38%      10.521ms      62.625us       0.000us         0.00%      21.070ms     125.417us           168  
                                 aten::cudnn_batch_norm         1.05%       4.621ms         2.27%      10.031ms      59.708us      21.070ms         5.06%      21.070ms     125.417us           168  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float,...         0.00%       0.000us         0.00%       0.000us       0.000us      21.070ms         5.06%      21.070ms     125.417us           168  
                                             aten::relu         0.21%     912.000us         1.19%       5.260ms      27.396us       0.000us         0.00%      20.595ms     107.266us           192  
                                        aten::clamp_min         0.58%       2.550ms         0.99%       4.348ms      22.646us      20.595ms         4.95%      20.595ms     107.266us           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.595ms         4.95%      20.595ms     107.266us           192  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      18.211ms         4.37%      18.211ms     206.943us            88  
                                             aten::add_         0.31%       1.390ms         0.55%       2.440ms      21.786us      18.068ms         4.34%      18.068ms     161.321us           112  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_mobile_rel...         0.00%       0.000us         0.00%       0.000us       0.000us      17.156ms         4.12%      17.156ms     536.125us            32  
