-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.06%       5.158ms         3.28%     297.512ms     664.089us       0.000us         0.00%        4.758s      10.620ms           448  
                                   ConvolutionBackward0         0.03%       2.564ms         3.22%     292.354ms     652.576us       0.000us         0.00%        4.758s      10.620ms           448  
                             aten::convolution_backward         1.37%     123.930ms         3.19%     289.790ms     646.853us        4.703s        51.62%        4.758s      10.620ms           448  
                                           aten::conv2d         0.02%       1.735ms         4.62%     419.360ms     794.242us       0.000us         0.00%        2.969s       5.623ms           528  
                                      aten::convolution         0.06%       5.037ms         4.60%     417.625ms     790.956us       0.000us         0.00%        2.969s       5.623ms           528  
                                     aten::_convolution         0.07%       6.397ms         4.55%     412.588ms     781.417us       0.000us         0.00%        2.969s       5.623ms           528  
                                aten::cudnn_convolution         1.11%     101.111ms         2.37%     214.690ms     406.610us        2.718s        29.83%        2.718s       5.147ms           528  
                 maxwell_scudnn_128x64_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us        1.441s        15.82%        1.441s       5.629ms           256  
             maxwell_scudnn_128x64_stridedB_small_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us        1.151s        12.64%        1.151s       5.140ms           224  
      maxwell_scudnn_128x64_stridedB_splitK_large_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us        1.064s        11.68%        1.064s      11.081ms            96  
void cudnn::detail::dgrad_alg1_engine<float, 128, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us     775.317ms         8.51%     775.317ms      32.305ms            24  
    maxwell_scudnn_128x128_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     649.453ms         7.13%     649.453ms       2.899ms           224  
               maxwell_scudnn_128x128_relu_medium_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     463.969ms         5.09%     463.969ms       5.800ms            80  
            maxwell_scudnn_128x128_stridedB_small_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     387.031ms         4.25%     387.031ms       3.225ms           120  
                 maxwell_scudnn_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     379.178ms         4.16%     379.178ms       2.962ms           128  
      maxwell_scudnn_128x32_stridedB_splitK_large_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     346.800ms         3.81%     346.800ms       7.225ms            48  
             maxwell_scudnn_128x32_stridedB_small_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     311.821ms         3.42%     311.821ms       4.331ms            72  
