-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.03%     411.000us         1.05%      14.432ms     360.800us       0.000us         0.00%     566.812ms      14.170ms            40  
                                   ConvolutionBackward0         0.02%     248.000us         1.02%      14.021ms     350.525us       0.000us         0.00%     566.812ms      14.170ms            40  
                             aten::convolution_backward         0.44%       6.118ms         1.00%      13.773ms     344.325us     543.569ms        39.32%     566.812ms      14.170ms            40  
                                           aten::conv2d         0.01%     134.000us        11.46%     158.246ms       3.956ms       0.000us         0.00%     286.400ms       7.160ms            40  
                                      aten::convolution         0.03%     393.000us        11.45%     158.112ms       3.953ms       0.000us         0.00%     286.400ms       7.160ms            40  
                                     aten::_convolution         0.04%     490.000us        11.43%     157.719ms       3.943ms       0.000us         0.00%     286.400ms       7.160ms            40  
                                aten::cudnn_convolution         1.98%      27.281ms         7.18%      99.186ms       2.480ms     245.922ms        17.79%     245.922ms       6.148ms            40  
                                 maxwell_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     158.849ms        11.49%     158.849ms       3.971ms            40  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.02%     228.000us         0.09%       1.269ms      52.875us       0.000us         0.00%     115.338ms       4.806ms            24  
                          MaxPool2DWithIndicesBackward0         0.01%     102.000us         0.08%       1.041ms      43.375us       0.000us         0.00%     115.338ms       4.806ms            24  
                 aten::max_pool2d_with_indices_backward         0.03%     386.000us         0.07%     939.000us      39.125us     102.235ms         7.40%     115.338ms       4.806ms            24  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us     102.235ms         7.40%     102.235ms       4.260ms            24  
    autograd::engine::evaluate_function: AddmmBackward0         0.03%     359.000us         0.20%       2.735ms     113.958us       0.000us         0.00%      93.030ms       3.876ms            24  
                                         AddmmBackward0         0.02%     257.000us         0.12%       1.692ms      70.500us       0.000us         0.00%      92.416ms       3.851ms            24  
                                               aten::mm         0.05%     679.000us         0.08%       1.060ms      22.083us      92.416ms         6.69%      92.416ms       1.925ms            48  
                               Optimizer.step#Adam.step         0.67%       9.237ms        24.54%     338.835ms      42.354ms       0.000us         0.00%      91.613ms      11.452ms             8  
                                maxwell_gcgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      90.492ms         6.55%      90.492ms       3.771ms            24  
      maxwell_scudnn_128x64_stridedB_splitK_large_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us      86.961ms         6.29%      86.961ms      10.870ms             8  
