-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         2.44%      37.155ms         4.07%      62.028ms      29.039us     720.592ms        51.87%     720.592ms     337.356us          2136  
    autograd::engine::evaluate_function: AddmmBackward0         0.19%       2.847ms         1.63%      24.934ms     129.865us       0.000us         0.00%     313.955ms       1.635ms           192  
                                         AddmmBackward0         0.12%       1.878ms         0.93%      14.182ms      73.865us       0.000us         0.00%     302.555ms       1.576ms           192  
                                           aten::linear         0.21%       3.242ms         2.99%      45.658ms      58.838us       0.000us         0.00%     285.993ms     368.548us           776  
       autograd::engine::evaluate_function: MmBackward0         0.34%       5.173ms         3.63%      55.378ms      94.825us       0.000us         0.00%     281.588ms     482.171us           584  
                                            MmBackward0         0.40%       6.099ms         3.29%      50.205ms      85.967us       0.000us         0.00%     281.588ms     482.171us           584  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     275.215ms        19.81%     275.215ms     354.659us           776  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     250.112ms        18.00%     250.112ms     325.667us           768  
                                           aten::matmul         0.48%       7.337ms         4.15%      63.316ms      72.610us       0.000us         0.00%     188.079ms     215.687us           872  
                                            aten::addmm         0.41%       6.199ms         0.63%       9.673ms      50.380us     149.544ms        10.76%     149.544ms     778.875us           192  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     137.340ms         9.89%     137.340ms     158.958us           864  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us      97.179ms         7.00%      97.179ms       1.012ms            96  
                                              aten::bmm         0.90%      13.789ms         1.42%      21.592ms      24.991us      92.195ms         6.64%      92.195ms     106.707us           864  
                               Optimizer.step#Adam.step         6.19%      94.471ms        21.77%     332.090ms      41.511ms       0.000us         0.00%      88.640ms      11.080ms             8  
                               maxwell_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      68.201ms         4.91%      68.201ms     710.427us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      67.885ms         4.89%      67.885ms      18.093us          3752  
      autograd::engine::evaluate_function: BmmBackward0         0.17%       2.663ms         1.31%      20.010ms      69.479us       0.000us         0.00%      59.846ms     207.799us           288  
                                           BmmBackward0         0.15%       2.300ms         1.14%      17.347ms      60.233us       0.000us         0.00%      59.846ms     207.799us           288  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      59.473ms         4.28%      59.473ms      44.251us          1344  
