-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         4.53%      39.530ms         7.46%      65.071ms      30.464us     343.821ms        46.96%     343.821ms     160.965us          2136  
    autograd::engine::evaluate_function: AddmmBackward0         0.35%       3.084ms         3.28%      28.593ms     148.922us       0.000us         0.00%     149.069ms     776.401us           192  
                                         AddmmBackward0         0.24%       2.081ms         2.00%      17.479ms      91.036us       0.000us         0.00%     142.306ms     741.177us           192  
                                           aten::linear         0.39%       3.412ms         5.71%      49.786ms      64.157us       0.000us         0.00%     138.715ms     178.756us           776  
       autograd::engine::evaluate_function: MmBackward0         0.60%       5.254ms         6.29%      54.842ms      93.908us       0.000us         0.00%     135.003ms     231.170us           584  
                                            MmBackward0         0.71%       6.206ms         5.69%      49.588ms      84.911us       0.000us         0.00%     135.003ms     231.170us           584  
                                maxwell_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      99.226ms        13.55%      99.226ms     112.501us           882  
                                maxwell_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      93.710ms        12.80%      93.710ms     106.975us           876  
                                           aten::matmul         0.89%       7.763ms         7.19%      62.683ms      71.884us       0.000us         0.00%      93.672ms     107.422us           872  
                               Optimizer.step#Adam.step        11.95%     104.185ms        38.50%     335.695ms      41.962ms       0.000us         0.00%      88.324ms      11.040ms             8  
                                            aten::addmm         0.84%       7.293ms         1.36%      11.840ms      61.667us      72.203ms         9.86%      72.203ms     376.057us           192  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      72.117ms         9.85%      72.117ms      83.469us           864  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us      57.932ms         7.91%      57.932ms     308.149us           188  
                                              aten::bmm         1.60%      13.983ms         2.38%      20.764ms      24.032us      49.837ms         6.81%      49.837ms      57.682us           864  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.796ms         6.25%      45.796ms      12.206us          3752  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us      44.699ms         6.11%      44.699ms     465.615us            96  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us      43.911ms         6.00%      43.911ms     243.950us           180  
                                             aten::add_         5.87%      51.180ms        11.65%     101.593ms      16.323us      41.977ms         5.73%      41.977ms       6.744us          6224  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.660ms         5.14%      37.660ms       7.859us          4792  
