-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.04%       8.252ms         1.01%     195.906ms     244.882us       0.000us         0.00%       11.630s      14.538ms           800  
                                   ConvolutionBackward0         0.03%       5.210ms         0.97%     187.654ms     234.567us       0.000us         0.00%       11.630s      14.538ms           800  
                             aten::convolution_backward         0.65%     126.287ms         0.94%     182.444ms     228.055us       11.630s        60.27%       11.630s      14.538ms           800  
                                      aten::convolution         0.04%       8.028ms         0.69%     134.499ms     168.124us       0.000us         0.00%        5.626s       7.033ms           800  
                                     aten::_convolution         0.03%       5.565ms         0.65%     126.471ms     158.089us       0.000us         0.00%        5.626s       7.033ms           800  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us        5.018s        26.00%        5.018s      15.681ms           320  
    maxwell_scudnn_128x128_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us        3.597s        18.64%        3.597s       6.917ms           520  
        maxwell_scudnn_128x128_3dconv_fprop_small_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us        3.232s        16.75%        3.232s       6.734ms           480  
                                           aten::conv2d         0.01%       2.118ms         0.55%     106.479ms     177.465us       0.000us         0.00%        2.986s       4.976ms           600  
                                aten::cudnn_convolution         0.35%      67.717ms         0.48%      93.990ms     156.650us        2.986s        15.47%        2.986s       4.976ms           600  
                                 aten::conv_transpose2d         0.00%     894.000us         0.16%      31.032ms     155.160us       0.000us         0.00%        2.640s      13.202ms           200  
                      aten::cudnn_convolution_transpose         0.10%      19.233ms         0.14%      26.916ms     134.580us        2.640s        13.68%        2.640s      13.202ms           200  
                                maxwell_gcgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us        2.206s        11.43%        2.206s      13.790ms           160  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.03%       6.473ms         0.22%      41.851ms      80.483us       0.000us         0.00%     650.111ms       1.250ms           520  
                                CudnnBatchNormBackward0         0.01%       2.647ms         0.18%      35.378ms      68.035us       0.000us         0.00%     650.111ms       1.250ms           520  
                        aten::cudnn_batch_norm_backward         0.09%      16.683ms         0.17%      32.731ms      62.944us     650.111ms         3.37%     650.111ms       1.250ms           520  
void fft2d_c2r_32x32<float, false, false, 1u, false,...         0.00%       0.000us         0.00%       0.000us       0.000us     542.359ms         2.81%     542.359ms       3.390ms           160  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     506.871ms         2.63%     506.871ms       1.056ms           480  
