-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.17%       8.326ms         3.79%     189.719ms     237.149us       0.000us         0.00%        2.892s       3.615ms           800  
                                   ConvolutionBackward0         0.10%       4.966ms         3.62%     181.393ms     226.741us       0.000us         0.00%        2.892s       3.615ms           800  
                             aten::convolution_backward         2.44%     122.465ms         3.52%     176.427ms     220.534us        2.892s        59.05%        2.892s       3.615ms           800  
                                      aten::convolution         0.15%       7.761ms         2.34%     117.075ms     146.344us       0.000us         0.00%        1.460s       1.825ms           800  
                                     aten::_convolution         0.10%       5.077ms         2.18%     109.314ms     136.643us       0.000us         0.00%        1.460s       1.825ms           800  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us        1.226s        25.02%        1.226s       3.830ms           320  
    maxwell_scudnn_128x128_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     883.974ms        18.05%     883.974ms       1.700ms           520  
        maxwell_scudnn_128x128_3dconv_fprop_small_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     856.995ms        17.50%     856.995ms       1.785ms           480  
                                           aten::conv2d         0.04%       2.047ms         1.81%      90.743ms     151.238us       0.000us         0.00%     801.787ms       1.336ms           600  
                                aten::cudnn_convolution         1.19%      59.742ms         1.58%      78.958ms     131.597us     801.787ms        16.37%     801.787ms       1.336ms           600  
                                 aten::conv_transpose2d         0.02%     852.000us         0.58%      29.231ms     146.155us       0.000us         0.00%     658.520ms       3.293ms           200  
                      aten::cudnn_convolution_transpose         0.36%      18.075ms         0.50%      25.279ms     126.395us     658.520ms        13.45%     658.520ms       3.293ms           200  
                                maxwell_gcgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     525.510ms        10.73%     525.510ms       3.284ms           160  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.13%       6.399ms         0.83%      41.584ms      79.969us       0.000us         0.00%     146.137ms     281.033us           520  
                                CudnnBatchNormBackward0         0.05%       2.383ms         0.70%      35.185ms      67.663us       0.000us         0.00%     146.137ms     281.033us           520  
                        aten::cudnn_batch_norm_backward         0.33%      16.428ms         0.65%      32.802ms      63.081us     146.137ms         2.98%     146.137ms     281.033us           520  
void fft2d_r2c_32x32<float, false, 1u, false>(float2...         0.00%       0.000us         0.00%       0.000us       0.000us     142.587ms         2.91%     142.587ms     445.584us           320  
void fft2d_c2r_32x32<float, false, false, 1u, false,...         0.00%       0.000us         0.00%       0.000us       0.000us     138.840ms         2.83%     138.840ms     867.750us           160  
