-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.41%      11.816ms         9.35%     267.920ms     279.083us       0.000us         0.00%     929.781ms     968.522us           960  
                                   ConvolutionBackward0         0.19%       5.577ms         8.94%     256.104ms     266.775us       0.000us         0.00%     929.781ms     968.522us           960  
                             aten::convolution_backward         5.44%     155.959ms         8.74%     250.527ms     260.966us     928.482ms        35.76%     929.781ms     968.522us           960  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.43%      12.373ms         2.93%      84.024ms      86.802us       0.000us         0.00%     367.245ms     379.385us           968  
                                CudnnBatchNormBackward0         0.16%       4.611ms         2.50%      71.651ms      74.020us       0.000us         0.00%     367.245ms     379.385us           968  
                        aten::cudnn_batch_norm_backward         1.13%      32.388ms         2.34%      67.040ms      69.256us     367.245ms        14.14%     367.245ms     379.385us           968  
                                           aten::conv2d         0.11%       3.283ms         4.77%     136.627ms     142.320us       0.000us         0.00%     335.974ms     349.973us           960  
                                      aten::convolution         0.32%       9.068ms         4.65%     133.344ms     138.900us       0.000us         0.00%     335.974ms     349.973us           960  
                                     aten::_convolution         0.21%       6.057ms         4.34%     124.276ms     129.454us       0.000us         0.00%     335.974ms     349.973us           960  
                                aten::cudnn_convolution         3.27%      93.648ms         4.12%     118.219ms     123.145us     335.974ms        12.94%     335.974ms     349.973us           960  
                                       aten::batch_norm         0.07%       2.045ms         2.92%      83.806ms      86.576us       0.000us         0.00%     226.604ms     234.095us           968  
                           aten::_batch_norm_impl_index         0.11%       3.188ms         2.85%      81.761ms      84.464us       0.000us         0.00%     226.604ms     234.095us           968  
                                 aten::cudnn_batch_norm         1.36%      39.042ms         2.74%      78.573ms      81.170us     226.604ms         8.73%     226.604ms     234.095us           968  
     autograd::engine::evaluate_function: ReluBackward0         0.24%       6.906ms         1.45%      41.552ms      42.926us       0.000us         0.00%     221.077ms     228.385us           968  
                                          ReluBackward0         0.17%       4.792ms         1.21%      34.646ms      35.791us       0.000us         0.00%     221.077ms     228.385us           968  
                               aten::threshold_backward         0.53%      15.217ms         1.04%      29.854ms      30.841us     221.077ms         8.51%     221.077ms     228.385us           968  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     221.077ms         8.51%     221.077ms     228.385us           968  
             maxwell_scudnn_128x64_stridedB_small_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     194.100ms         7.48%     194.100ms     433.259us           448  
    maxwell_scudnn_128x128_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     189.901ms         7.31%     189.901ms     719.322us           264  
