-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.75%      10.855ms        14.92%     217.308ms     226.363us       0.000us         0.00%     170.273ms     177.368us           960  
                                   ConvolutionBackward0         0.39%       5.619ms        14.18%     206.453ms     215.055us       0.000us         0.00%     170.273ms     177.368us           960  
                             aten::convolution_backward         9.96%     144.990ms        13.79%     200.834ms     209.202us     170.057ms        37.51%     170.273ms     177.368us           960  
                                           aten::conv2d         0.21%       3.060ms         8.28%     120.628ms     125.654us       0.000us         0.00%      63.050ms      65.677us           960  
                                      aten::convolution         0.59%       8.563ms         8.07%     117.568ms     122.467us       0.000us         0.00%      63.050ms      65.677us           960  
                                     aten::_convolution         0.39%       5.690ms         7.49%     109.005ms     113.547us       0.000us         0.00%      63.050ms      65.677us           960  
                                aten::cudnn_convolution         5.72%      83.256ms         7.10%     103.315ms     107.620us      63.050ms        13.91%      63.050ms      65.677us           960  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.84%      12.274ms         5.22%      76.073ms      78.588us       0.000us         0.00%      47.973ms      49.559us           968  
                                CudnnBatchNormBackward0         0.33%       4.824ms         4.38%      63.799ms      65.908us       0.000us         0.00%      47.973ms      49.559us           968  
                        aten::cudnn_batch_norm_backward         2.05%      29.784ms         4.05%      58.975ms      60.925us      47.973ms        10.58%      47.973ms      49.559us           968  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      43.130ms         9.51%      43.130ms      96.272us           448  
                               Optimizer.step#Adam.step        12.76%     185.799ms        41.69%     606.960ms      75.870ms       0.000us         0.00%      35.584ms       4.448ms             8  
                                       aten::batch_norm         0.15%       2.189ms         5.44%      79.217ms      81.836us       0.000us         0.00%      33.664ms      34.777us           968  
                           aten::_batch_norm_impl_index         0.21%       3.017ms         5.29%      77.028ms      79.574us       0.000us         0.00%      33.664ms      34.777us           968  
                                 aten::cudnn_batch_norm         2.59%      37.669ms         5.08%      74.011ms      76.458us      33.664ms         7.43%      33.664ms      34.777us           968  
     autograd::engine::evaluate_function: ReluBackward0         0.45%       6.568ms         2.27%      33.075ms      34.168us       0.000us         0.00%      27.330ms      28.233us           968  
                                          ReluBackward0         0.30%       4.338ms         1.82%      26.507ms      27.383us       0.000us         0.00%      27.330ms      28.233us           968  
                               aten::threshold_backward         0.98%      14.225ms         1.52%      22.169ms      22.902us      27.330ms         6.03%      27.330ms      28.233us           968  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.330ms         6.03%      27.330ms      28.233us           968  
