-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.84%       9.666ms        18.07%     208.817ms     318.319us       0.000us         0.00%     507.607ms     773.791us           656  
                                   ConvolutionBackward0         0.34%       3.911ms        16.49%     190.560ms     290.488us       0.000us         0.00%     476.192ms     725.902us           656  
                             aten::convolution_backward        12.01%     138.845ms        16.15%     186.649ms     284.526us     469.262ms        46.63%     476.192ms     725.902us           656  
                                      aten::convolution         0.55%       6.345ms        10.56%     122.036ms     186.030us       0.000us         0.00%     186.115ms     283.712us           656  
                                     aten::_convolution         0.47%       5.423ms        10.01%     115.691ms     176.358us       0.000us         0.00%     186.115ms     283.712us           656  
                                           aten::conv2d         0.18%       2.108ms        10.59%     122.457ms     188.977us       0.000us         0.00%     183.114ms     282.583us           648  
                                aten::cudnn_convolution         7.64%      88.302ms         8.93%     103.187ms     159.239us     173.483ms        17.24%     173.483ms     267.721us           648  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_mobile_rel...         0.00%       0.000us         0.00%       0.000us       0.000us      91.890ms         9.13%      91.890ms     417.682us           220  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile1...         0.00%       0.000us         0.00%       0.000us       0.000us      85.253ms         8.47%      85.253ms     394.690us           216  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      80.864ms         8.04%      80.864ms      26.600us          3040  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      76.787ms         7.63%      76.787ms     446.436us           172  
                                              aten::add         2.43%      28.047ms         3.69%      42.613ms      23.465us      69.666ms         6.92%      69.666ms      38.362us          1816  
                                              aten::mul         3.08%      35.556ms         4.77%      55.082ms      22.210us      59.647ms         5.93%      59.647ms      24.051us          2480  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      57.199ms         5.68%      57.199ms      64.413us           888  
                                             aten::add_         1.54%      17.756ms         2.77%      31.971ms      16.312us      49.629ms         4.93%      49.629ms      25.321us          1960  
autograd::engine::evaluate_function: torch::autograd...         0.08%     897.000us         0.49%       5.699ms      89.047us       0.000us         0.00%      47.167ms     736.984us            64  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      44.910ms         4.46%      44.910ms     330.221us           136  
torch::autograd::CppNode<vision::ops::(anonymous nam...         0.04%     424.000us         0.36%       4.126ms      64.469us       0.000us         0.00%      43.688ms     682.625us            64  
