-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.09%       1.068ms         1.89%      22.099ms     345.297us       0.000us         0.00%     183.679ms       2.870ms            64  
                                   ConvolutionBackward0         0.03%     362.000us         1.71%      19.917ms     311.203us       0.000us         0.00%     183.564ms       2.868ms            64  
                             aten::convolution_backward         0.98%      11.478ms         1.68%      19.555ms     305.547us     178.443ms        29.85%     183.564ms       2.868ms            64  
                                            aten::copy_         4.59%      53.626ms        22.75%     265.611ms      43.422us     143.012ms        23.93%     143.044ms      23.385us          6117  
                                           aten::conv2d         0.07%     829.000us         3.71%      43.323ms     171.917us       0.000us         0.00%     117.490ms     466.230us           252  
                                      aten::convolution         0.16%       1.886ms         3.64%      42.494ms     168.627us       0.000us         0.00%     117.490ms     466.230us           252  
                                     aten::_convolution         0.26%       3.058ms         3.48%      40.608ms     161.143us       0.000us         0.00%     117.490ms     466.230us           252  
                                               aten::to         0.28%       3.278ms        15.92%     185.807ms     109.815us       0.000us         0.00%     100.977ms      59.679us          1692  
                                         aten::_to_copy         0.38%       4.452ms        15.64%     182.529ms     168.229us       0.000us         0.00%     100.977ms      93.066us          1085  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      90.415ms        15.13%      90.415ms     420.535us           215  
                                aten::cudnn_convolution         2.13%      24.881ms         2.66%      31.095ms     123.393us      88.299ms        14.77%      88.299ms     350.393us           252  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_mobile_rel...         0.00%       0.000us         0.00%       0.000us       0.000us      64.399ms        10.77%      64.399ms     340.735us           189  
                                              aten::pad         0.02%     215.000us         0.21%       2.500ms      39.062us       0.000us         0.00%      50.021ms     781.578us            64  
void internal::region_transform_ABC_val<int, 32, 32,...         0.00%       0.000us         0.00%       0.000us       0.000us      37.365ms         6.25%      37.365ms     259.479us           144  
                                maxwell_gcgemm_32x32_tn         0.00%       0.000us         0.00%       0.000us       0.000us      34.559ms         5.78%      34.559ms     719.979us            48  
                                             aten::add_         1.12%      13.085ms         2.07%      24.161ms      13.767us      34.065ms         5.70%      34.065ms      19.410us          1755  
                                aten::replication_pad2d         0.04%     523.000us         0.08%     946.000us      29.562us      32.680ms         5.47%      32.680ms       1.021ms            32  
void at::native::(anonymous namespace)::replication_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.680ms         5.47%      32.680ms       1.021ms            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.613ms         4.95%      29.613ms      24.885us          1190  
