-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         1.71%      41.004ms        15.15%     363.270ms     124.408us       0.000us         0.00%     795.014ms     272.265us          2920  
                                         AddmmBackward0         1.31%      31.384ms         9.95%     238.392ms      81.641us       0.000us         0.00%     747.217ms     255.896us          2920  
                                               aten::mm         3.94%      94.450ms         6.81%     163.202ms      27.946us     747.217ms        30.76%     747.217ms     127.948us          5840  
                                           aten::linear         0.97%      23.287ms        10.94%     262.347ms      88.631us       0.000us         0.00%     469.250ms     158.530us          2960  
                                            aten::addmm         4.96%     118.831ms         8.01%     192.102ms      64.899us     469.250ms        19.31%     469.250ms     158.530us          2960  
                                maxwell_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     401.169ms        16.51%     401.169ms     117.991us          3400  
                                maxwell_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     371.862ms        15.31%     371.862ms     110.673us          3360  
                                              aten::bmm         1.96%      46.999ms         3.04%      72.855ms      25.297us     278.096ms        11.45%     278.096ms      96.561us          2880  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     229.953ms         9.46%     229.953ms     239.534us           960  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     198.510ms         8.17%     198.510ms      67.983us          2920  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     173.835ms         7.15%     173.835ms      14.161us         12276  
      autograd::engine::evaluate_function: BmmBackward0         0.36%       8.619ms         2.74%      65.564ms      68.296us       0.000us         0.00%     173.476ms     180.704us           960  
                                           BmmBackward0         0.31%       7.413ms         2.38%      56.945ms      59.318us       0.000us         0.00%     173.476ms     180.704us           960  
                                              aten::mul         2.36%      56.550ms         3.58%      85.737ms      21.629us     148.397ms         6.11%     148.397ms      37.436us          3964  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     139.764ms         5.75%     139.764ms     291.175us           480  
                                             aten::add_         3.37%      80.670ms         6.48%     155.283ms      16.189us     134.649ms         5.54%     134.649ms      14.038us          9592  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.792ms         5.47%     132.792ms      22.162us          5992  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     126.753ms         5.22%     126.753ms     264.069us           480  
autograd::engine::evaluate_function: torch::autograd...         1.51%      36.122ms         8.54%     204.707ms      25.717us       0.000us         0.00%     117.229ms      14.727us          7960  
