-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.36%      11.700ms         4.16%     136.096ms     226.827us       0.000us         0.00%        1.215s       2.026ms           600  
                                         AddmmBackward0         0.20%       6.489ms         2.32%      75.762ms     126.270us       0.000us         0.00%        1.170s       1.950ms           600  
                                               aten::mm         0.55%      18.120ms         1.84%      60.023ms      50.019us        1.170s        35.46%        1.170s     974.807us          1200  
                                           aten::linear         0.14%       4.468ms         1.39%      45.312ms      75.520us       0.000us         0.00%     652.712ms       1.088ms           600  
                                            aten::addmm         0.62%      20.129ms         0.95%      31.096ms      51.827us     652.712ms        19.79%     652.712ms       1.088ms           600  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     607.965ms        18.43%     607.965ms       1.027ms           592  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     549.755ms        16.66%     549.755ms     941.361us           584  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     389.389ms        11.80%     389.389ms       2.028ms           192  
                                              aten::mul         0.57%      18.564ms         0.87%      28.292ms      22.670us     333.640ms        10.11%     333.640ms     267.340us          1248  
                                              aten::bmm         0.28%       9.288ms         0.42%      13.661ms      23.717us     326.561ms         9.90%     326.561ms     566.946us           576  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     254.883ms         7.73%     254.883ms     442.505us           576  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     234.826ms         7.12%     234.826ms     146.766us          1600  
                                              aten::add         0.97%      31.851ms         2.01%      65.572ms      26.104us     233.544ms         7.08%     233.544ms      92.971us          2512  
      autograd::engine::evaluate_function: BmmBackward0         0.05%       1.602ms         0.40%      13.105ms      68.255us       0.000us         0.00%     210.425ms       1.096ms           192  
                                           BmmBackward0         0.05%       1.622ms         0.35%      11.503ms      59.911us       0.000us         0.00%     210.425ms       1.096ms           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     187.495ms         5.68%     187.495ms     366.201us           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     164.256ms         4.98%     164.256ms      59.513us          2760  
      autograd::engine::evaluate_function: MulBackward0         0.11%       3.511ms         0.52%      16.944ms      40.731us       0.000us         0.00%     156.609ms     376.464us           416  
                                           aten::matmul         0.07%       2.360ms         0.75%      24.446ms     127.323us       0.000us         0.00%     138.803ms     722.932us           192  
