-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.99%      28.163ms         3.44%      48.586ms      31.145us     535.620ms        37.93%     535.620ms     343.346us          1560  
    autograd::engine::evaluate_function: AddmmBackward0         0.76%      10.745ms         7.65%     108.152ms     140.823us       0.000us         0.00%     377.556ms     491.609us           768  
                                         AddmmBackward0         0.58%       8.194ms         4.82%      68.049ms      88.605us       0.000us         0.00%     358.839ms     467.238us           768  
                                           aten::linear         0.42%       5.979ms         4.92%      69.474ms      89.528us       0.000us         0.00%     260.942ms     336.265us           776  
                                maxwell_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     246.536ms        17.46%     246.536ms     254.686us           968  
                               Optimizer.step#Adam.step         9.87%     139.422ms        60.54%     855.593ms     106.949ms       0.000us         0.00%     201.745ms      25.218ms             8  
                                            aten::addmm         2.22%      31.390ms         3.57%      50.485ms      65.736us     197.765ms        14.00%     197.765ms     257.507us           768  
                                maxwell_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     165.117ms        11.69%     165.117ms     171.997us           960  
                                              aten::bmm         0.95%      13.382ms         1.39%      19.679ms      22.777us     137.016ms         9.70%     137.016ms     158.583us           864  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     121.785ms         8.62%     121.785ms     140.955us           864  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     117.022ms         8.29%     117.022ms       1.125ms           104  
       autograd::engine::evaluate_function: MmBackward0         0.01%      89.000us         0.08%       1.107ms     138.375us       0.000us         0.00%     113.604ms      14.200ms             8  
                                            MmBackward0         0.01%     110.000us         0.07%       1.018ms     127.250us       0.000us         0.00%     113.604ms      14.200ms             8  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us      98.348ms         6.96%      98.348ms     512.229us           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      93.227ms         6.60%      93.227ms      18.949us          4920  
      autograd::engine::evaluate_function: BmmBackward0         0.20%       2.862ms         1.36%      19.266ms      66.896us       0.000us         0.00%      88.810ms     308.368us           288  
                                           BmmBackward0         0.16%       2.235ms         1.16%      16.404ms      56.958us       0.000us         0.00%      88.810ms     308.368us           288  
                                             aten::add_         4.59%      64.922ms        16.17%     228.587ms      27.580us      79.936ms         5.66%      79.936ms       9.645us          8288  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      66.987ms         4.74%      66.987ms      10.249us          6536  
