-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         1.23%       8.717ms        10.63%      75.345ms     127.272us       0.000us         0.00%     203.665ms     344.029us           592  
                                         AddmmBackward0         0.91%       6.466ms         6.97%      49.379ms      83.410us       0.000us         0.00%     192.157ms     324.590us           592  
                                               aten::mm         2.73%      19.350ms         4.70%      33.315ms      28.138us     192.157ms        28.96%     192.157ms     162.295us          1184  
                               Optimizer.step#Adam.step        15.43%     109.307ms        49.61%     351.572ms      43.947ms       0.000us         0.00%     158.078ms      19.760ms             8  
                                           aten::linear         0.70%       4.969ms         8.26%      58.539ms      98.883us       0.000us         0.00%     118.692ms     200.493us           592  
                                            aten::addmm         3.61%      25.562ms         6.15%      43.563ms      73.586us     118.692ms        17.89%     118.692ms     200.493us           592  
                                maxwell_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      93.569ms        14.10%      93.569ms     136.001us           688  
                                maxwell_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      78.539ms        11.84%      78.539ms     115.499us           680  
                                             aten::add_         6.99%      49.562ms        14.24%     100.896ms      15.590us      63.221ms         9.53%      63.221ms       9.768us          6472  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.477ms         8.97%      59.477ms      15.521us          3832  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.402ms         8.95%      59.402ms      11.767us          5048  
                                              aten::bmm         1.31%       9.259ms         1.98%      14.015ms      24.332us      51.198ms         7.72%      51.198ms      88.885us           576  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us      48.420ms         7.30%      48.420ms     465.577us           104  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us      47.810ms         7.21%      47.810ms     249.010us           192  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      42.911ms         6.47%      42.911ms      73.478us           584  
                                             aten::mul_         4.11%      29.118ms         7.70%      54.588ms      16.890us      33.471ms         5.05%      33.471ms      10.356us          3232  
      autograd::engine::evaluate_function: BmmBackward0         0.23%       1.642ms         1.82%      12.872ms      67.042us       0.000us         0.00%      32.972ms     171.729us           192  
                                           BmmBackward0         0.21%       1.522ms         1.58%      11.230ms      58.490us       0.000us         0.00%      32.972ms     171.729us           192  
                                         aten::addcdiv_         2.13%      15.069ms         3.68%      26.059ms      16.126us      32.702ms         4.93%      32.702ms      20.236us          1616  
