-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.44%       8.247ms         4.03%      76.094ms     128.537us       0.000us         0.00%     782.302ms       1.321ms           592  
                                         AddmmBackward0         0.31%       5.886ms         2.34%      44.198ms      74.659us       0.000us         0.00%     756.697ms       1.278ms           592  
                                               aten::mm         0.93%      17.532ms         1.57%      29.562ms      24.968us     756.697ms        38.69%     756.697ms     639.102us          1184  
                                           aten::linear         0.24%       4.479ms         2.55%      48.161ms      81.353us       0.000us         0.00%     415.233ms     701.407us           592  
                                            aten::addmm         1.21%      22.776ms         1.78%      33.670ms      56.875us     415.233ms        21.23%     415.233ms     701.407us           592  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     392.305ms        20.06%     392.305ms     662.677us           592  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     307.104ms        15.70%     307.104ms     525.863us           584  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     193.271ms         9.88%     193.271ms       1.007ms           192  
                                              aten::bmm         0.49%       9.298ms         0.71%      13.393ms      23.252us     178.406ms         9.12%     178.406ms     309.733us           576  
                               Optimizer.step#Adam.step         5.75%     108.461ms        80.53%        1.519s     189.931ms       0.000us         0.00%     158.801ms      19.850ms             8  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     140.438ms         7.18%     140.438ms     240.476us           584  
      autograd::engine::evaluate_function: BmmBackward0         0.09%       1.726ms         0.67%      12.688ms      66.083us       0.000us         0.00%     115.334ms     600.698us           192  
                                           BmmBackward0         0.08%       1.464ms         0.58%      10.962ms      57.094us       0.000us         0.00%     115.334ms     600.698us           192  
                                     sgemm_128x128x8_NN         0.00%       0.000us         0.00%       0.000us       0.000us      91.686ms         4.69%      91.686ms      11.461ms             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      90.495ms         4.63%      90.495ms      17.927us          5048  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      76.759ms         3.93%      76.759ms      20.073us          3824  
                                           aten::matmul         0.13%       2.430ms         1.36%      25.673ms     133.714us       0.000us         0.00%      74.942ms     390.323us           192  
                                     sgemm_128x128x8_TN         0.00%       0.000us         0.00%       0.000us       0.000us      70.523ms         3.61%      70.523ms       8.815ms             8  
                                maxwell_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      69.003ms         3.53%      69.003ms     359.391us           192  
